agency,date,title,status,purpose,period_covered,link
NHA,"February 06, 2022",Housing unit,PENDING,Researc0,01/01/1990 - 01/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5IQS02NzAwMjU3NDM0MDgM
PEZA,"February 06, 2022",PEZA and Subic Freeport Zone Incentives under CREATE Law and Pros and Cons,PENDING,Research,02/06/2022 - 02/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBFWkEtNjk4NDU1MjkyNjEwDA
SSS,"February 06, 2022",Sickness and Ec claim,PENDING,for filling of sickness and Ec,01/05/2022 - 01/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy02MjkyNTkwOTE0NjQM
DAR,"February 06, 2022",CLT,PENDING,Status of CLT,10/01/1972 - 02/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERBUi03MTA2MzA0ODE5MzgM
NTC,"February 06, 2022",lost cellphone,PENDING,to find or locate my lost cellphone,12/29/2021 - 02/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0wMjczODU5ODMwMTEM
DOH,"February 06, 2022",Vaxcert; incorrect middle name,PENDING,To correct my middle name in vaxcert certification,01/06/2022 - 02/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC02NjE5MDk5NzMzNTkM
DSWD,"February 06, 2022",Financial or medical assistance,PENDING,Financial assistance or medical assistance,01/31/2022 - 02/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURTV0QtODQ2OTg2MzE2NDkwDA
OWWA,"February 06, 2022",OWWA-AKAP ASSISTANCE,PENDING,FOLLOW UP,09/02/2021 - 01/02/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU9XV0EtMzgxNTEyMjM1ODI4DA
PCSO,"February 06, 2022",Laptop for student,PENDING,For my study,02/06/2022 - 02/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBDU08tNzc1NTExOTA5Mjc1DA
NTC,"February 06, 2022",To block my lost phone using IMEI number,PENDING,For the device not use in any illegal transactions.,02/04/2022 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy01NDgxNjQyMjM3MzEM
PEZA,"February 06, 2022",List of registered PEZA locators in Rosario Cavite Economic Zone,PENDING,Marketing Research,01/01/2021 - 02/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBFWkEtMDU5MTA3OTM5NTU0DA
CDA,"February 06, 2022",List of Cooperatives in the Philippines,PENDING,Research,01/01/2021 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEENEQS03NTkyODIxMjA5NTQM
DepEd,"February 06, 2022",VAX Certificate,PENDING,To avail National VAX Certificate,11/01/2021 - 12/16/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTY1NTM2NzU4MjIzNQw
CHED,"February 06, 2022",NSTP Number,PENDING,Diploma Requirement,06/18/2012 - 06/12/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtNDU1MzgyNjUyNzgwDA
