agency,date,title,status,purpose,period_covered,link
LTO,"November 28, 2022",LTO Classification for Vehicle Type,PENDING,Research and development for automotive industry,01/01/2021 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEExUTy03OTQ4NTg2MTgwMTAM
DOH,"November 28, 2022",Lost Vaccination Card,PENDING,Employment,07/28/2021 - 08/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC00NTIzNDc0NzY5MTUM
PSA,"November 28, 2022",Breakdown and demographic of deaths per region,PENDING,Literature for thesis,01/01/2015 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS02Nzk5MTg2NTYzMTgM
DOLE,"November 28, 2022",Certificate of Involuntary Separation (Application of Unemployment Benefits),PENDING,To claim the Unemployment of Benefits program of SSS.,11/07/2022 - 11/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtMDkzMjY4MjIzMjE4DA
PSA,"November 28, 2022","Miscarriage, still birth and perinatal deaths",PENDING,Literature for thesis,01/01/2015 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS03MzQyOTE2NzIzMTgM
CHED,"November 28, 2022",Bataan Student Hub: Student Activity Center and Dormitories for College student in Bataan,ACCEPTED,For my Thesis Writing,01/01/2019 - 01/02/2019,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtMzQ2MjIyNjc2MDIwDA
PSA,"November 28, 2022",Change of National ID Delivery Address,PENDING,Change of National ID Delivery Address due to change of residency,11/28/2022 - 11/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0xNTk2NzM3MzcwNDcM
NTC,"November 28, 2022",Harassment of OLA to my contacts in phonebook,PENDING,FOR CLOSURE of BUSINESS Madaloan Moca moca Snapera Cash will Perabag ok peso wowpera honeyloan cash,11/26/2022 - 11/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy05NDkxMzM2NDI2MzMM
NPC,"November 28, 2022",MOCA MOCA online lending apps to stop access my contact,PENDING,"TO STOP OLA COMPANY MOCAMOCA, MADALOAN,PERA CASH,SNAPERA,CASHWILL,perabag,okpeso,logicash, honeyloan",10/29/2022 - 11/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5QQy02MjI3NDQ4NjA3NjEM
BIR,"November 28, 2022",ITR for 2021,PENDING,son's scholarship application,11/28/2022 - 11/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi01NTY2OTEwMDk1NDEM
PSA,"November 28, 2022","Breakdown of the Number of Establishments for ""Sale of motor vehicle parts and accessories"" category",PENDING,For research purposes,01/01/2017 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS05NzI5MDY3ODYxODIM
DepEd,"November 28, 2022",Latest Statistics number of Visually Impaired Students in CALABARZON Region 4A,PENDING,Architectural Thesis,11/28/2017 - 11/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTU2OTMyOTIwNTA1NAw
DOH,"November 28, 2022",Regional Statistics of the Visually Impaired in the Philippines in the years from 2017- 2022,ACCEPTED,Architectural Thesis,11/28/2017 - 11/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC04MDY1Nzk0MDMwNDAM
DepEd,"November 28, 2022",Latest Statistical Data per Region and Provinces of the Number of Students with Visual Impairment,PENDING,Architectural Thesis,11/28/2017 - 11/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTc1ODc3ODY0MzYwMww
DOTr,"November 28, 2022",MRT 3 Hourly Entry and Exit of Passengers per Station in year 2020 - 2021,PENDING,Research/Thesis,01/01/2020 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPVHItMTA2NjAyNzc3NTI5DA
NTC,"November 28, 2022",Stolen iphone,PENDING,For locate or block my phone,11/23/2022 - 11/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0xMjg1OTM0ODU4NTMM
PSA,"November 28, 2022",Latest National and Regional Data of Number of Visually Impaired Students in the Philippines,PENDING,Architectural Thesis,11/28/2022 - 11/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS05MDI4OTM1NzgwNjEM
DOH,"November 28, 2022",Vaxcert update,PENDING,For travel abroad,08/08/2022 - 08/08/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0xMDA4NTExMTE4NzUM
NAP,"November 28, 2022",Deed of Sale,PENDING,Transfer of title.,04/15/1975 - 04/15/1975,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5BUC01NzYwNDc2ODQ4MTAM
DTI,"November 28, 2022",Number of Registered Tailoring Businesses in Lucena City,PENDING,Research and Development,01/01/2015 - 11/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERUSS0yNTMzNzIxNTU4MTIM
PNP,"November 27, 2022",All documents Requested under FOI approved by FDM BGEN NEIL ALINSANGAN PRO9 not yet provided,PENDING,Criminal and Administrative Cases,09/18/2022 - 11/11/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC03MzgyNTEzMTgyNDQM
PNP,"November 27, 2022",Raw Data of Violence against women and children in the Province of Laguna,PENDING,For term paper and field of study,01/01/2010 - 11/27/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC04NjgxNDM2MzI1NjQM
DPWH,"November 27, 2022",Lisap Bridge in Oriental Mindoro Plans and relevant data,AWAITING CLARIFICATION,Research/Thesis,11/27/2000 - 11/27/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURQV0gtNTk4NjYyMDA3MTI5DA
DSWD,"November 27, 2022",Orphans in the Philippines,PENDING,Academic Purpose (Thesis Writing),12/30/2011 - 12/30/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURTV0QtNzU1MzAzMDEzNjA4DA
DPWH,"November 27, 2022",Data of Bridge Failure or Damages Due to Typhoon or Floods,AWAITING CLARIFICATION,Research,11/27/2000 - 11/27/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURQV0gtNDM2MTEzNzE4MDk3DA
PSA,"November 27, 2022",Livelihood Classification of Solo Parents in Laguna,PENDING,I will be using it for academic research purposes wherein I am to write an article about it.,01/01/2021 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0zNzI5NTAzNzU5MzQM
PSA,"November 27, 2022",The number of Orphans in the Philippines,PENDING,Academic Purpose (Thesis Writing),12/30/2011 - 12/30/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS01ODgyMTc1Nzk2NjAM
