agency,date,title,status,purpose,period_covered,link
LTO,"May 22, 2022",Certficate of No Apprehension/Driver’s certification,PENDING,For applying my driver’s license here in france,05/22/2022 - 05/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEExUTy0yMjc1ODUxOTY1NzgM
CWC,"May 22, 2022",Medical Financial support for Child,PENDING,"Hindi para sa akin, kundi para sa Bata na nadalo sa aming simbahan need nya nang CT Scan.",05/22/2022 - 05/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEENXQy0wNTU5OTIxODg1NzIM
DPWH,"May 22, 2022",Marikina land use map,PENDING,research,05/22/2022 - 05/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURQV0gtNjMyMzkzMDI2NTY2DA
DPWH,"May 22, 2022",Garbage Disposal Data in Pasig River,PENDING,Undergraduate Thesis,01/01/2010 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURQV0gtMDk1Mzg3MjgzNzk0DA
CAAP,"May 22, 2022",Feasibility Study and Master Plan of New Masbate Airport,PENDING,Architectural Thesis,05/14/2017 - 05/14/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNBQVAtNjg3NjAyNDc1OTQyDA
NBI,"May 22, 2022",Harrassment of various lending app,PENDING,Filling of complaint and closure of LOA'S,05/15/2022 - 05/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS04NzM4MDU5MDE2MjgM
SEC,"May 22, 2022",Articles of Incorporation,PENDING,For Academic Purposes,05/22/2022 - 05/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNFQy03ODY5NDkzNTMzMDMM
HDMF,"May 22, 2022",Pag ibig loan,PENDING,Gusto ko lng po malaman yung details ng loan ko sa pag ibig na diko nabayaran for 2 years,04/20/2019 - 05/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUhETUYtNzUxMTYxMjc1NTIyDA
NKTI,"May 22, 2022",Data of Patients with Renal Diseases in Central Luzon,PENDING,Undergraduate Thesis,01/01/2010 - 05/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU5LVEktNzQzMzQwMzQ1MDY1DA
NKTI,"May 22, 2022","Floor Plan, Elevation, Section, Site Dev't Plan, and Organization Chart of NKTI in QC",PENDING,Undergraduate Thesis,01/01/2015 - 05/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU5LVEktNTgwOTc0MzQ1MDE2DA
