agency,date,title,status,purpose,period_covered,link
DENR FMB,"November 16, 2022","Native Trees and Plants Species, Region 7",PENDING,Research and Development,11/01/2022 - 11/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJGTUItODA1NjU5NjU5ODg5DA
PSAU,"November 16, 2022",Number of Employees of Frontline Offices,PENDING,For Analysis of Population and Sampling in Dissertation Writing,11/16/2022 - 11/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBTQVUtMTM0NDczOTUxNDU0DA
NTC,"November 16, 2022",Bloking my stolen cellphone,PENDING,to block the whole system of the stolen cellphone so the culprit can't able to use it,11/13/2022 - 11/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0yMzAyNjAxMTM0NTUM
ASCOT,"November 16, 2022",Number of Employees of Frontline Offices,ACCEPTED,For Analysis of Population and Sampling in Dissertation Writing,11/16/2022 - 11/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkFTQ09ULTY2NDExMDYzNzcwOQw
NEUST,"November 16, 2022",Number of Employees of Frontline Offices,PENDING,For Analysis of Population and Sampling in Dissertation Writing,11/16/2022 - 11/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEk5FVVNULTI3MDk3NDE4ODkwMQw
DOH,"November 16, 2022",Vaccine Certificate,PENDING,Required travel document,06/28/2021 - 10/07/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC01NzI4NzQ5NDAzOTkM
TAU,"November 16, 2022",Number of Employees of Frontline Offices,PENDING,For Analysis of Population and Sampling in Dissertation Writing,11/16/2022 - 11/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFRBVS02Mjc0NDAyMDI0OTAM
TSU,"November 16, 2022",Number of Employees of Frontline Offices,PENDING,For Analysis of Population and Sampling in Dissertation Writing,11/16/2022 - 11/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFRTVS03NjY3MDA2NDUyMjgM
BULSU,"November 16, 2022",Number of Employees of Frontline Offices,PENDING,For Analysis of Population and Sampling in Dissertation Writing,11/01/2022 - 11/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkJVTFNVLTQ5ODgzOTk3Mjk2MQw
PRMSU,"November 16, 2022",Number of Employees of Frontline Offices,PENDING,For Analysis of Population and Sampling in Dissertation Writing,11/01/2022 - 11/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiElBSTVNVLTgyNTU4MzA2OTg3Mww
