agency,date,title,status,purpose,period_covered,link
DA,"December 10, 2022","Research and Development, and Extension Agenda and Programs",PENDING,Undergraduate Thesis,12/08/2022 - 12/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0RBLTcyMDk2MjU3NTIxOQw
NEDA,"December 10, 2022",Central Luzon Regional Development Plan,PENDING,Undergraduate Thesis,12/08/2022 - 12/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU5FREEtNzgxNjk0MTE3NjU1DA
BIR,"December 10, 2022",ITR and RDO CODE for my employment,PENDING,For employment,07/05/2021 - 03/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi00NDEwMDA2MTg3MjMM
DOH,"December 10, 2022",URGENT: Vaccination certificate for printing,PENDING,"travel abroad on December 11, 2022",12/09/2022 - 12/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0yNDA5OTg0Nzg4NTYM
DepEd,"December 10, 2022",alternative learning system LRN,PENDING,For scholarship application,12/10/2022 - 12/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTgwOTM0MDc3OTg5MQw
CHED,"December 10, 2022",Gross enrolment data of tertiary education in the Philippines,PENDING,Research purposes,12/01/1991 - 12/01/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtNzY5MDM3MjM4Njg3DA
DOE,"December 10, 2022",Industry performance of Oil and Gas,PENDING,Research and Development,12/31/2018 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPRS03NDExMzIxOTM4OTgM
DOE,"December 10, 2022",Standard Oil and Gas Financial Ratios,PENDING,Research and Development,12/31/2017 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPRS00Mzk0NzQxNDcyNjIM
DOLE,"December 10, 2022",margareth rillo suspect for murder in ADB crime reported in PNP.,PENDING,Lifetime Permanent Banned Blacklist Order for dreaded blacklisted margareth rillo reported in PNP.,01/01/2018 - 12/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtMTIyNTc5ODc5MTc2DA
PNP,"December 10, 2022",margareth rillo suspect for murder in ADB crime reported in PNP.,PENDING,Lifetime Permanent Banned Blacklist Order for dreaded blacklisted margareth rillo reported in PNP.,01/01/2018 - 12/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC0wNzY4Njc0ODIyNTQM
DENR FMB,"December 09, 2022",Bamboo volume and species in Maragondon Cavite,PENDING,Research and Development for a Private business development,12/09/2015 - 12/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJGTUItODc0MjA5OTUyMTU0DA
PHSA,"December 09, 2022",Number of food delivery riders in the Philippines per region,PENDING,Research and Development,12/09/2022 - 12/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBIU0EtNzU2ODA0NDM3NjQ0DA
DepEd,"December 09, 2022",gross enrolment of Primary and Secondary education from 1991-2020,PENDING,Research,12/01/1991 - 12/01/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTAwMzg1MTQ2OTA4Mww
DOE,"December 09, 2022",List of SESC applicants around Batangas,PENDING,Research,01/01/2019 - 12/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPRS01MDkwNTMwODgyMzcM
