agency,date,title,status,purpose,period_covered,link
PSA,"November 04, 2022",LGBTQ population in Cavite,PENDING,Research,01/03/2020 - 11/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS01NDA0Nzk1MTUzNDcM
PNP,"November 04, 2022",SLANDER,PENDING,I want to sue Renalyn Aberjedo Mabute for false storties she spreading in my work.,09/29/2020 - 09/30/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC00NzQ2NTU4NjQ5NDkM
DOST,"November 04, 2022",Agricultural Research Center/ Facility,PENDING,Research regarding an Agricultural Research Center,11/04/2022 - 11/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPU1QtOTYyNzMxMzg0MDc1DA
POPCOM,"November 04, 2022",LGBTQ population in Cavite,PENDING,Research,01/01/2020 - 11/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIAsSB0NvbnRlbnQiE1BPUENPTS00MDIxMTQ1Mzc0NzYM
DepEd,"November 04, 2022",Site Selection Criteria for Autism School,PENDING,Architectural Thesis,11/03/2022 - 11/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTk5Mzg5NjQ3Nzk0MAw
SEC,"November 04, 2022",List of the Top 100 lenders by loan volume and value,PENDING,For research/statistical analysis,11/04/2020 - 11/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNFQy03NjQ5OTIxNjM2MjEM
PNP,"November 04, 2022",Monthly Traffic Incidents,PENDING,Updating of Traffic Accident Recording and Analysis System (TARAS),10/01/2022 - 10/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC00NTE3NjYwMTQ5OTEM
PSA,"November 04, 2022",Number of PWD in Quezon City,PENDING,Thesis Book,01/01/2000 - 01/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0zNDQwMzc1NTE0MDgM
DA,"November 04, 2022",Design standards and guidelines for agricultural research facilities in the Philippines,PENDING,research development,11/04/2022 - 11/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0RBLTc1MzQzMzcyMDc2MAw
PNP,"November 04, 2022",Monthly Traffic Incidents,PENDING,Updating of Traffic Accident Recording and Analysis System (TARAS),10/01/2022 - 10/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC04NzMwMDA1MTE4MTEM
PSC,"November 04, 2022",Design Guidelines,PENDING,Thesis Writing Book,01/01/2000 - 01/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQy0zNjIxOTYwNjczNDkM
NBI,"November 04, 2022",Poser Facebook Account,PENDING,To know who's the owner of the poser account,10/31/2020 - 11/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS0wMjE3NzMwNzg5MTkM
PCIEERD,"November 04, 2022",Information on EV or E-Mobility Projects of The Philippines,PENDING,Research and Development,11/01/2022 - 11/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFFBDSUVFUkQtMDE3NjkyODgyMTY5DA
NTC,"November 04, 2022",Lost Cellphone Ridme note 11,PENDING,To find my lost phone and bring it back to me,06/14/2022 - 10/07/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0wMjIyODUyNTM1NzYM
FNRI,"November 04, 2022",The number of registered vegetarian population in Metro Manila In year 2016-2021,PENDING,Research and development,11/02/2016 - 11/03/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUZOUkktNjYwMTAzMzAzNzY3DA
CHED,"November 04, 2022",Data of teachers in art-major related in Bicol Region,ACCEPTED,Architectural Thesis,01/01/2021 - 11/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtNjg2NDk5NDU4MzM3DA
DepEd,"November 04, 2022",Data of teachers in art-major related in Bicol Region,PENDING,Architectural Thesis,01/01/2021 - 11/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTM3MjY2OTI3NjE3NQw
DepEd,"November 04, 2022",HighSchool Diploma,PENDING,Requirements for Enrollment abroad (USA),06/04/2001 - 04/20/2005,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTU1MDk0MjcxMTAzMQw
DepEd,"November 04, 2022",Data of number of Art and Design SHS student in Manila,PENDING,Architectural Thesis,01/01/2017 - 11/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTI1NTY1MTY5Nzc0MQw
DOTr,"November 04, 2022",North Luzon Expressway (NLEX),PENDING,Research and Development,01/01/2015 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPVHItMTQyMjc5MzU2MzMwDA
DepEd,"November 04, 2022",Highschool Diploma,PENDING,For employment purposes,06/14/1982 - 04/28/1986,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTQxODY1MDI4MjQ1NQw
DOH,"November 04, 2022",Hospital bill/medical/financial assistance,ACCEPTED,Hospital bill/medical/financial assistance,10/08/2022 - 10/19/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC05MzkzNTY4MDA4NTMM
SSS,"November 04, 2022",SSS Calamity loan tyhpoon paeng,PENDING,Hi ask ko lang po bakit hindi po ako makapag file ng calamity loan ?,11/01/2022 - 11/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy01Njk5NjQxOTk4NTkM
LMB,"November 04, 2022",Technical Description/ Lot Data Computation,PENDING,To resurvey my lot,02/17/1977 - 02/18/1977,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItNTAyODA1Mzc0MDEwDA
LRTA,"November 04, 2022",LRT Line 1 Line 2|| Food Stall Space for Rent,PENDING,Business - Food Stall Space,11/03/2022 - 11/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUxSVEEtNTc0MTkyMzgxNzAwDA
PSA,"November 04, 2022",2016 API Household data/ micro data,PENDING,Economics undergraduate dissertation,01/01/2016 - 06/30/2016,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS00MjM3NDE4OTE4MzAM
DPWH,"November 04, 2022","Philippine Standards, Specifications, and Testing for Concrete Pavement Blocks",AWAITING CLARIFICATION,Undergraduate Thesis,11/04/2010 - 11/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURQV0gtNjM3Nzk3ODE2MzkzDA
SRA,"November 04, 2022",Raw Sugar Exportation of the Philippines to the United Staes of America: An Assessment,PENDING,Thesis Purposes,12/31/1990 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNSQS04NTg0NjM0MzU1MjMM
PSA,"November 04, 2022",Total number of workers and sellers of local handicrafts and souvenir shops in Ilocos Region,PENDING,For my study,01/01/2022 - 10/30/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS02NTEyNjEwNzk0MzcM
DepEd,"November 04, 2022",Request for diploma,PENDING,For future reference like going back to school again,06/10/2013 - 03/14/2014,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTcwNjgzMjcyNzEwMQw
BIR,"November 04, 2022",Request for RDO Change,PENDING,Transfer of RDO,01/01/2022 - 06/20/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi0yMTc4MjAyMDA5NTAM
PSA,"November 04, 2022",Data on Senior High School Graduates,PENDING,Architectural Thesis Writing,11/04/2022 - 11/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS00NTAwNTE5MDU2NzIM
SRA,"November 04, 2022",Philippine Export Performance: An Assessment,PENDING,For thesis purposes,12/31/1990 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNSQS0zMDA0NTgzMzQyNzIM
NTC,"November 04, 2022",list of isp and vas provider 2022 up to present!,PENDING,The information requested will be used for the further study on the current ISP/VAS industry and net,11/03/2022 - 11/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy01NDE4MjMwNDE4NzEM
DND,"November 04, 2022",Data on NDRRMC,PENDING,Architectural Thesis Writing,11/04/2022 - 11/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERORC03NjU1MjgxODIzOTIM
LRTA,"November 04, 2022",Ridership on LRT Line 2,PENDING,Research and development,06/01/2020 - 11/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUxSVEEtNjYyMTgxODgyMTc2DA
PSA,"November 03, 2022",Philippine Education Data,PENDING,Thesis Research,11/03/2022 - 11/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0wMjY1OTg2OTk1ODMM
DOTr,"November 03, 2022","The number bus, bus drivers, and bus manufacturing industries in the Philippines",PENDING,Feasibility study,11/03/2022 - 11/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPVHItMzYwMzk3MDc4MDYzDA
DILG,"November 03, 2022",List of HUCs that requested for the LGSF-AC under FY 2021 GAA,PENDING,Research purposes,01/18/2021 - 11/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURJTEctMDI0MzQyMjQxOTI3DA
LMB,"November 03, 2022",Homestead patent no. 133300,PENDING,Land verification Certification of Alienable and disposable land,11/03/2022 - 11/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItODk4NzcyNTQ4NjExDA
NBI,"November 03, 2022",To report online loan applications,PENDING,To report all online loan applications,11/03/2022 - 11/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS0zMzIxODg4MTc3NTAM
LTO,"November 03, 2022",Drivers License Certification,PENDING,"Applying for foreign license in Ontario, Canada",11/03/2022 - 11/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEExUTy0xMTU5MTg5NzQ3ODAM
