agency,date,title,status,purpose,period_covered,link
IC,"January 28, 2023",Number of deaths claims by Month to Insurance Commission 2015 to 2022,PENDING,Research Project,01/01/2015 - 12/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0lDLTkyMzQxODgxMTAzMww
DOJ,"January 28, 2023",Release of Court Decision,PENDING,Personal Inquiry,09/12/2022 - 01/28/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSi04ODUyMTI4Njg3MDcM
PNP,"January 28, 2023",margareth rillo suspect for murder and JobStreet blacklist with PNP criminal record.,PENDING,Blotter Report Lifetime llPermanent Banned Blacklist Order and arrest warrant for dreaded blacklist.,01/01/2018 - 01/28/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC0yMTA5NzQyODQ3NTkM
DOH,"January 28, 2023",Annual Inpatient bed days of patients w/ Respiratory/Pulmonary diseases,PENDING,Undergraduate Thesis,01/28/2023 - 01/28/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC04ODQ5NTkzMjk3ODIM
DPWH,"January 28, 2023","Standard Penetration Test (SPT) data of public buildings in Manila, Pasay, and Pateros",PENDING,Research and development,01/28/2000 - 01/28/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURQV0gtNTU0MjMyNzA4Nzg5DA
BFAR,"January 28, 2023","Water quality monitoring datasets of Pujada Bay, Mati City",PENDING,Research and Development,01/01/2001 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJGQVItNzk5NzY0NTc4NDA3DA
PNP,"January 28, 2023",Statistical Data on Children at Risk (CAR) and Children in Conflict with the Law (CICL) 2019-2021,PENDING,For the conduct of my Architectural Undergraduate Thesis,01/01/2019 - 01/28/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC0wOTI2NzAxNDQxMDMM
DENR EMB,"January 28, 2023","Datasets of Water quality monitoring of Pujada Bay, Mati City",PENDING,Research to maintain sustainable environment,01/01/2001 - 12/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJFTUItNDkzMTU4Mjk2NDc0DA
BSWM,"January 28, 2023",Soil map and Soil Characteristic of Marinduque,PENDING,For Dissertation and Research,12/01/2021 - 01/27/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJTV00tNzkwMzA5MjkwMjI2DA
NYC,"January 28, 2023",List of YORP Registered Organizations in the Province of Pangasinan,PENDING,Research and Establishment of the PYDC,10/01/2022 - 01/22/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5ZQy0xNDcwOTg2MjcwMjgM
