agency,date,title,status,purpose,period_covered,link
DOH,"October 16, 2022",vaccine card,PENDING,Local Flight,09/11/2021 - 09/11/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0yMTE1NzUxMTE0MjQM
DepEd,"October 16, 2022",Certified copy ALS Diploma,PENDING,For enrollment purposes,10/16/2022 - 10/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTQxODQwMDkwOTU3OAw
NTC,"October 16, 2022",Report of theft,PENDING,To identify the location and blocking the phone,10/13/2022 - 10/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0zMDgyMDgyMzg3MzgM
BIR,"October 16, 2022",BIR FORM 2316,PENDING,Employment requirement,01/01/2022 - 06/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi0xMjU1ODQ2MzUxOTAM
NBI,"October 16, 2022",Scam facebook online selling,PENDING,To track the phone number I sent the payment for an item,09/15/2022 - 09/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS04MDYyNTM1MTc1MTcM
PSA,"October 16, 2022","Volume of Chicken Egg Production in Batangas Province, City and Municipality, 2010-2021",PENDING,Research and development,01/01/2010 - 01/01/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS04NTk5NzMwNTc5NTYM
PHRA,"October 16, 2022",Number of Elderly in CALABARZON,PENDING,Architectural Thesis,01/01/2015 - 10/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBIUkEtNDkyODA0MzczNTY0DA
DSWD,"October 16, 2022",Number of Indigent Elderly in CALABARZON,PENDING,Architectural Thesis,01/01/2015 - 10/02/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURTV0QtNDkyNjAzOTg0MTQ3DA
PSC,"October 16, 2022",Population of Athletes in Kawit Cavite,PENDING,Thesis,10/16/2022 - 10/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQy0wOTM2OTI5MzE2NDkM
UPLB,"October 16, 2022","PWD Community Data in Barangay San Antonio, Los Baños, Laguna",PENDING,Research and Development,10/15/2022 - 10/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVVQTEItMzg5ODQwMDUwMjE5DA
