agency,date,title,status,purpose,period_covered,link
DOH,"June 16, 2023",Booster Certificate,PENDING,Work requirements,02/04/2022 - 02/28/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC02Njg0MTUxMjEwMTUM
BPI,"June 16, 2023",Lists of commercial hydroponic farms in Muntinlupa and Las Pinas,PENDING,Academic research,02/20/2020 - 06/14/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJQSS04OTg4ODE3MzAyNTEM
BAI,"June 16, 2023",Location of Duck Farms in South Cotabato province,PENDING,Undergraduate thesis,06/15/2000 - 06/15/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJBSS0wMTk5MTIwNzcxNzEM
NTC,"June 16, 2023",Lost Iphone 11 pro max,PENDING,Blocked the phone,05/06/2023 - 06/06/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0zMjg0OTkxOTI3NzYM
DOE,"June 16, 2023",2021 and 2022 gasoline station count per province,PENDING,Market study,01/01/2021 - 12/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPRS0wMTM4ODc1MDg2MjYM
PSA,"June 16, 2023",CERTIFICATE OF NO INCOME,PENDING,SCHOLARSHIP APPLICATION REQUIREMENT,06/15/2023 - 06/16/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS05MjE3NTkzMTE1NjIM
NBI,"June 16, 2023","Someone text me from unknown number that I have case about ""Estafa""",PENDING,Research,01/01/2022 - 06/16/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS0yNzM3NTAyNzA3NjYM
BIR,"June 16, 2023",Income tax return,PENDING,Korean VISA requirements,06/17/2022 - 06/10/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi0xODM2Mzg1Mzc5NTgM
DOH,"June 16, 2023",Cancellation of Vax Certificate Request,ACCEPTED,International travel,06/15/2023 - 06/16/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0zMzk5MDc4NTg2ODIM
DOH,"June 16, 2023",Vaccination Card,SUCCESSFUL,For employment purposes,06/16/2023 - 06/16/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC03MzQyOTMzNjg0ODkM
LMB,"June 16, 2023","Comprehensive Land Use Plan of Tanay, Rizal",PENDING,Architectural Thesis,06/12/2023 - 06/16/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItNzM2NTgzMjY3OTAyDA
BIR,"June 16, 2023",BIR FORM 2316,PENDING,Bank Loan,02/24/2023 - 04/22/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi05NDk2MTEwMjg2OTEM
LTO,"June 16, 2023",Owner of the motor vehicle,PENDING,Filing a case,06/15/2023 - 06/16/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEExUTy0zMTQ0NzQyMjczNjAM
NTC,"June 16, 2023",Stolen phone,PENDING,Maparusahan ang nag nakaw,05/01/2023 - 06/16/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0xNTg2NzM2NTk1NDEM
NTC,"June 16, 2023",BLOCK MY STOLEN PHONE TO NTC,PENDING,BLOCK MY PHONE TO NTC,06/08/2023 - 06/16/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy00NDI1NTE0NzgxNDkM
PSA,"June 16, 2023",Statistics on Mental Health cases in the Philippines,PENDING,Architectural Thesis Project,06/16/2023 - 06/16/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS05NTIyMzIyMjI2NjgM
DepEd,"June 16, 2023",Diploma,ACCEPTED,Job application,06/15/1992 - 05/01/1996,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTM1OTk1NjQ5OTMxMQw
LMB,"June 16, 2023",BM No.19 Floridablanca CAD,PENDING,Land Survey,11/08/1973 - 06/16/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItNjE5OTQwODUxNjY2DA
CHED,"June 16, 2023",Center of Excellence for Agriculture,PENDING,For international degree application.,01/01/2000 - 06/16/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtNDg4NDU5MDc3NjkwDA
PCA,"June 16, 2023",List of Coconut Plantations in CALABARZON and its land areas,PENDING,Research and Development,01/01/2023 - 06/16/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBDQS02Mjk2NzExNzM0OTQM
DOH,"June 16, 2023",Lost of Vaccine Card,SUCCESSFUL,Retrieval of new vaccine card copy.,06/15/2023 - 06/16/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC04MjMzOTQ0MTk3NzkM
NTC,"June 16, 2023",Pls. Help me block the imei of my stolen cellphone,PENDING,For insurance claim,05/08/2023 - 06/16/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy00NDI0OTc5Nzg1NDIM
DICT,"June 16, 2023",To know the owner of this number 09996842376,PENDING,For filing of criminal case,06/15/2023 - 06/15/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURJQ1QtOTAxNTUxODY2ODg2DA
PSA,"June 16, 2023",The average income of household in Camelot Area or Barangay Estefania in general,PENDING,Research,01/01/2022 - 06/16/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0yNTQ2NzgyNjg3NjcM
NAMRIA,"June 16, 2023","Hydrographic Data for Brgy. Ibabao, Cordova",PENDING,For Academic purposes only specifically Capstone Design Project,01/01/2000 - 06/16/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyJAsSB0NvbnRlbnQiF0RFTlJOQU1SSUEtMTIyNDc1NzUwMjIyDA
DTI,"June 15, 2023",The number of laundry shops offering machine laundry services in Bacolod city,PENDING,Research Study,01/01/2020 - 06/15/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERUSS03NTMwNTQ5OTE3OTQM
JJWC,"June 15, 2023",Children in conflicts with the law,PENDING,Thesis,06/15/2023 - 06/15/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUpKV0MtMjU4ODUxMzgxMzg0DA
LMB,"June 15, 2023",CLUP of Tuguegarao City,PENDING,Architectural Design Thesis,06/15/2023 - 06/15/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItNzk0Nzg5OTM2OTU4DA
