agency,date,title,status,purpose,period_covered,link
LTO,"October 13, 2022",The Number of Registered Motorcycle Vehicles in Dasmariñas Cavite 2022,PENDING,Feasibility Study and Research,09/01/2022 - 10/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEExUTy04MTkzOTEzNTQ5ODcM
LMB,"October 13, 2022",BLLM Coordintes for Camarines Norte,PENDING,Research,10/13/2022 - 10/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItNTQ0NTEwNTY5NDg0DA
BLGF,"October 13, 2022",Updated LTOM,PENDING,work related reference,10/13/2022 - 10/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJMR0YtNzEzMDA1MzI5NzIxDA
BAI,"October 13, 2022",List of Veterinarian Clinics 2022,PENDING,market research and product validation,08/01/2022 - 10/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJBSS03ODgxMjQ3NjA5MTEM
TIEZA,"October 13, 2022","Any issuances for non applicability of Section 3 of PD 1205, s. 1977",PENDING,For guidance purposes,10/03/1977 - 10/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiElRJRVpBLTE3MzAxMzc5MTYxNww
BIR,"October 13, 2022",Request for 2316 ITR of 2019,PENDING,Purpose is for employment,01/01/2019 - 01/01/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi02NTk0MzQ2MzcxNzQM
DOH,"October 13, 2022",Request for Vaccination Certificate with QR Code,PENDING,Travel Abroad,07/17/2021 - 06/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC01MjQ2Njk4MjY2ODYM
PHILSUCOR,"October 13, 2022",Request for Raw Sugar Statistical Data,PENDING,Academic Purposes,01/01/1991 - 01/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIwsSB0NvbnRlbnQiFlBISUxTVUNPUi01MTczMjExMjU0MzEM
PSA,"October 13, 2022",Statistical data about raw sugar,PENDING,Academic purposes,01/01/1990 - 01/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0zNjE3OTA5ODIxOTIM
PSA,"October 13, 2022",Request for Inflation Rate Data,PENDING,Academic Purposes,01/01/1991 - 01/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS04MjM2NDA2MjU3MDIM
SRA,"October 13, 2022",Request for Raw Sugar Statistical Data,PENDING,Academic Purposes,01/01/1991 - 01/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNSQS0zNjAwMzExMjIzMDEM
DepEd,"October 13, 2022",Transcript of Records,SUCCESSFUL,Immigration Requirements,01/01/1995 - 12/31/2005,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTQwODI3NzY0MjIwNgw
DOH,"October 13, 2022",Wrong Information-Vaxcertph,PENDING,Correction of Details,10/07/2022 - 10/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0yNjY5NDIyMDQxMDUM
BIR,"October 13, 2022",Request for 2316 ITR of 2017 and 2019,PENDING,New Employment requirements,01/01/2017 - 01/01/2019,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi04MjE4NzcxMzA4NjEM
SRA,"October 13, 2022",Statistical data about raw sugar,PENDING,Research academic purposes,01/01/1990 - 07/30/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNSQS0wMTY4Mzk0NTcyODIM
DOH,"October 13, 2022",VAXCERTPH SYSTEM UPDATE,PENDING,For international travel,05/27/2021 - 10/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC04NDM0OTk0NzA4NTQM
DENR,"October 13, 2022",SUSTAINABLE DEVELOPMENT PLAN OF KALINGA PROVINCE,PENDING,Research and Development,10/13/2022 - 10/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURFTlItODg4ODkxNDI4MTkxDA
PNP,"October 13, 2022",Name of PNP Officer who is an Accessory to Attempted Murder of Infant in Dipolog,PENDING,Identify Criminal for appropriate charges,01/01/2008 - 12/31/2008,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC0xMjc3NDQwMzE5MzgM
NBI,"October 13, 2022","To stop Moca Moca from invading client personal life, accessing personal info and death threats",PENDING,To stop OLA from their wrong doin and death threats and so as invading personal information,10/13/2022 - 10/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS02OTU3OTg3NjY3NTAM
NPC,"October 13, 2022",Take down moca moca for invadin privacy and harassments,PENDING,To stop OLA( Moca Moca) harassment and wrong doings,10/13/2022 - 10/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5QQy0zMDY0OTY3OTYxOTYM
NTC,"October 13, 2022",IMEI BLOCKING,PENDING,My Phone won't be use by the theif,10/13/2022 - 10/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0zODE3NjM4NDA4NzUM
DENR,"October 13, 2022",SUSTAINABLE DEVELOPMENT PLAN OF THE PROVINCE,PENDING,Research and Development,10/12/2022 - 10/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURFTlItOTg3MTA0ODQ2NzEyDA
DOTr,"October 13, 2022",INTERMODAL TRANSPORT TERMINAL STUDY,PENDING,Architectural thesis Academic purposes only,10/11/2017 - 10/11/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPVHItODA2MTg1NzA4ODY1DA
MMDA,"October 13, 2022",Guidelines on design and planning Intermodal Terminal Transportation,PENDING,Architectural thesis,10/11/2017 - 10/11/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU1NREEtMzc0MDA0Njk5NTgyDA
PSA,"October 13, 2022",Labor Statistics in Baguio City (by sex),PENDING,Thesis,03/31/2019 - 01/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS04ODg4MDc5NDQwMTAM
DENR,"October 13, 2022",Submitted Subdivision Plan Survey,PENDING,Verification of Information,10/06/2022 - 10/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURFTlItMDM1NTk4Njg4NTA3DA
PRC,"October 13, 2022",Renewal of PRC ID,PENDING,Renewal of PRC License,10/02/2022 - 10/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBSQy0wODc0NTQxOTA5NjYM
PSA,"October 13, 2022","The Number of Person with Disability (PWD) residing in Intramuros, Manila.",PENDING,Research and Societal Development.,01/01/2020 - 12/01/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0wNzI3Mzc3NTY5MzcM
DOLE,"October 13, 2022",Request for e-Certification of Involuntary Separation,PENDING,Unemployment benefits.,10/04/2021 - 10/27/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtODE0MDQzMTM5ODcwDA
HDMF,"October 13, 2022",statement of account,PENDING,updating documents,01/01/2008 - 10/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUhETUYtNDY0MTA0Mzg0NTMwDA
PSA,"October 13, 2022","Number of Establishments in Calamba, Laguna",PENDING,Architectural Thesis,09/20/2012 - 09/20/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS02OTM5MzQ3MjMyNTcM
BSWM,"October 13, 2022",Batangas City Soil Map,PENDING,Architectural Research,10/13/2010 - 10/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJTV00tNzM3NDc1NDk2ODUxDA
LMB,"October 13, 2022",SLUP AND SDP of Calamba Laguna,PENDING,Architecture Thesis,09/20/2012 - 09/20/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItMzAyOTkzNDQ2MjY5DA
DND,"October 13, 2022",IRR of RA7077,PENDING,As my reference as a reservist,10/04/2021 - 11/30/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERORC02NDkzMjA0MTI3NDMM
MPC,"October 13, 2022",GCASH SCAMMER,PENDING,Gcash help center,10/12/2022 - 10/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE1QQy0xNDkzMjA0NTAxNjQM
DOH,"October 13, 2022",Data for Cancer Cases,ACCEPTED,Capstone Design Project II (Thesis/Research),10/13/2012 - 10/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0zOTc2NDMwMTgzNjgM
PSA,"October 13, 2022","Total numbers of Employees in Fairview, Quezon City",PENDING,"Academic Research, Thesis",01/01/2022 - 10/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0yNTcyODIwMDk5NDcM
NatMu,"October 13, 2022",Site Criteria for Museums in the Philippines,AWAITING CLARIFICATION,Architectural Thesis,01/05/2016 - 10/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEk5hdE11LTAxNjQxNzM0MDM2MAw
DOH,"October 12, 2022","CLUP, Zoning Ordinace, and Certified True Copy of Transfer Certificate Title in Quezon City",PENDING,Research and Thesis Design Project,10/12/2022 - 10/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC04NjMxMTQ2ODAzNjEM
DOH,"October 12, 2022",Number of Heatstroke related accidents,PENDING,Research and development,03/12/2020 - 10/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0wNjUxNTY1MDU1MjMM
PSA,"October 12, 2022",transparent plan about the existing problem of IDs,PENDING,Public Information,01/01/2020 - 10/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0yODA0MzkzOTg5MTYM
PSA,"October 12, 2022",Census of the Population and Housing Report 2020,PENDING,Capstone Design Project,01/01/2020 - 12/21/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS01NjI5ODg4Mzk5MjUM
PSC,"October 12, 2022",Number of Para Athletes in the Philippines,PENDING,For Architectural Thesis,10/12/2022 - 10/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQy05ODcxNTkzMzk0ODMM
BLGF,"October 12, 2022",Statement of Income and Expenses of Vovo inc. Philippines,PENDING,Research and Feasibility study,10/10/2017 - 10/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJMR0YtMDk0MjgwMTM2OTA0DA
BLGF,"October 12, 2022",Statement of Income and expenses of Marloch Enterprise Corporation,PENDING,Research and Feasibility Study,10/10/2017 - 10/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJMR0YtNzkxNzA5MTI5ODY5DA
DOH,"October 12, 2022",vaccine card,PENDING,"FOR CORRECTION, FOR WORK ABROAD, VERY URGENT",10/12/2022 - 10/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC03MzM4OTA5OTU3MjkM
IC,"October 12, 2022",VUL AND TRADITIONAL EXAM RESULT,PENDING,For my filing.,10/01/2014 - 02/01/2015,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0lDLTU0NzA5NzYxMjQ2Mgw
DA,"October 12, 2022",Information for Local and Imported Rice,PENDING,Thesis Paper,10/01/2022 - 10/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0RBLTk4Nzk5NzE5NjI1OAw
HDMF,"October 12, 2022",Statement of Account,PENDING,Employer Request,08/01/2022 - 10/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUhETUYtMTA1MTUwNjMxOTg5DA
DOH,"October 12, 2022",Architectural Research - Statistics of Individuals with Autism Spectrum Disorder (ASD),ACCEPTED,Architectural Thesis Project,01/01/2022 - 10/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC05MTU5NjQxMjMwOTIM
PRC,"October 12, 2022",Official PRC pricing/policy for documentary stamps,PENDING,public interest and transparency,09/01/2022 - 10/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBSQy03Nzk5MjA0NjEyMzEM
