agency,date,title,status,purpose,period_covered,link
DOH,"December 01, 2022",Covid vaccine purchase agreements,PENDING,Literature for thesis,03/01/2021 - 07/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0wODQ4OTEzODg5NjQM
PH,"December 01, 2022",Number of PWDs Covered by Automatic PhilHealth Coverage,PENDING,Research,02/22/2019 - 11/30/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD1BILTQ3OTg0NDY0NDcxMQw
LTO,"December 01, 2022","Total number of registered vehicle in Mauban, Quezon",PENDING,Feasibility Study,12/01/2022 - 12/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEExUTy0yOTIwMTQ3MzQzMjQM
PNP,"December 01, 2022",Raw data of daily crimes recorded in the City of Manila,ACCEPTED,Undergraduate Thesis,01/01/2021 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC0wMjY3MDE5NDg3NTYM
NTC,"December 01, 2022",Harassment over text messages - Charlene Cantos (09464390537),PENDING,Harassment,11/30/2022 - 12/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0zNDE5NzkwNzU3MTIM
DepEd,"December 01, 2022",Form 137,PENDING,Job application,01/01/2011 - 12/30/2015,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTI4MTM3NjA1MzU1Nww
DOTr,"December 01, 2022",Site Location and Project Description of Bicol International Airport,PENDING,Undergraduate Thesis,01/01/2011 - 12/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPVHItNzc1MDU3OTAzNDYzDA
DOH,"December 01, 2022",request details on the released covid allowances,ACCEPTED,counter check released allowances.from employee,05/30/2020 - 11/30/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC01NTQwNTIxNjUyNDQM
BSWM,"December 01, 2022",Shapefile for river networks/ water ways in Mexico Pampanga,PENDING,Undergraduate Thesis,01/01/2016 - 11/23/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJTV00tNDM4NjM1MjA3NDU4DA
NBI,"December 01, 2022",REQUEST HELP TRACK AND BLOCK STOLEN PHONE,PENDING,MY PHONE IS STOLEN PLEASE HELP TRACK AND BLOCK MY PHONE,11/30/2022 - 11/30/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS0wMTg2NTI3MzI2MTIM
NTC,"December 01, 2022",REQUEST PHONE STOLEN HELP TRACK/BLOCK,PENDING,HELP LOCATE/TRACK AND BLOCK STOLEN PHONE,11/30/2022 - 11/30/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy04ODA1NDgyNDI3MDIM
OVP,"December 01, 2022",REQUESTING FINANCIAL ASSISTANCE DUE TO UNPAID BALANCE DURING THE FIRST SEMESTER AND A SCHOLARSHIP,PENDING,"FOR ME TO TAKE FINAL EXAMINATION THIS DECEMBER 12-17, 2022.",12/01/2022 - 12/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0yODE3NDQ2NDQwNTIM
NTC,"December 01, 2022",MY PHONE IS LOST PLEASE TRACK AND BLOCK MY PHONE,PENDING,TRACK AND BLOCK MY PHONE,11/21/2022 - 12/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0xMzA0Nzg1NTkyMjAM
DTI,"December 01, 2022",Scammed by Aqua SMC Distributor,PENDING,For refund and penalty to the scammer,11/27/2022 - 11/30/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERUSS00MTc0MTk3MTI0MTEM
SSS,"December 01, 2022",SSS NUMBER and EMPLOYMENT HISTORY,PENDING,Employment,12/01/2022 - 12/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy03NTExNzc5MDEwMzQM
NBI,"December 01, 2022",Cashbaka scammer,PENDING,For Justice,10/20/2022 - 11/30/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS02NjIwMjAwMjE3ODEM
NBI,"December 01, 2022",Cashbaka scammer,PENDING,For Justice,10/20/2022 - 11/30/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS00MzQ2OTU0NTg5NzMM
PAGCOR,"December 01, 2022",Clarification of junkets,PENDING,Research and development,12/01/2022 - 12/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIAsSB0NvbnRlbnQiE1BBR0NPUi00OTQ3OTQ1MDczODMM
NTC,"December 01, 2022",Tracking Lost Phone,PENDING,Personal Use,11/30/2022 - 12/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0wNDk1NDU5MDMwNDQM
NTC,"December 01, 2022",LOST PHONE,PENDING,TO RETRIEVE AND TRACK THE LOCATION OF MY LOST PHONE,11/30/2022 - 12/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy03NDcwNzEzNTQzNTQM
PNP,"December 01, 2022",Criminal Police Report,ACCEPTED,Check if she has history of being a scammer.,11/30/2000 - 11/20/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC01NDA1NDYzMTA0NzIM
UPD,"December 01, 2022","List of Registered Sanitary Landfills, Controlled and Open Dumpsites in Region 3",PENDING,Thesis - Former Dump Site Rehabilitation,09/01/2022 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFVQRC04MjYxNzM2OTYzNzcM
