agency,date,title,status,purpose,period_covered,link
NAP,"February 25, 2023",deed of donation by felipe baes to calixto baes,PENDING,for research of previous owner,01/01/1934 - 12/31/1978,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5BUC03MTIyMzk2MDM0NjgM
BIR,"February 25, 2023",deed of donation felipe baes to calixto baes,PENDING,for research of previous owner,01/01/1934 - 12/31/1978,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi01MTU4Mjk2MTc2NjgM
JJWC,"February 25, 2023",Children in Conflict with the Law (CICL),PENDING,Research Thesis,02/25/2023 - 02/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUpKV0MtNjI4MjkwOTg1NTIzDA
PNP,"February 25, 2023",Breakdown Cases of Children In Conflict with the Law (CICL),PENDING,Research Thesis,02/25/2023 - 02/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC01NTcxMjQyMTM4NjIM
LMB,"February 25, 2023",(CLUP) Comprehensive Land Use Plan of CALAMBA LAGUNA,PENDING,Architectural Thesis,02/25/2023 - 02/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItMTg4MjM4OTMyMTI3DA
DSWD,"February 25, 2023",Financial assistance,PENDING,Financial assistance for Medicines,02/25/2023 - 02/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURTV0QtNjQyODQ3MjA3Njc4DA
NAP,"February 25, 2023",deed of sale between Felipe Baes married to Maria Baes and Calixto Baes married to Maria Baes,PENDING,research of transfer document from previous owner,01/01/1934 - 12/31/1978,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5BUC02MDg1NTk5ODAyMjcM
BIR,"February 25, 2023",deed of sale between felipe baes and calixto baes,PENDING,research of previous document of sale,01/01/1934 - 01/01/1977,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi0xODUwNTA3MTcxOTIM
NTC,"February 25, 2023",Stolen phone,PENDING,Block my phone pleaseeee,02/22/2023 - 02/22/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy00NDExNDM5MjE1MTcM
PCC,"February 25, 2023",Consolidated Position Paper of the Philippine Competition Commission,PENDING,Research,01/01/2018 - 12/31/2018,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiElBDQ29tLTMzODUxODU0ODUzNww
DOH,"February 25, 2023",raymond goc-ong,PENDING,for abroad,02/25/2023 - 02/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC04NzcwODEzMTgzNjUM
LMB,"February 25, 2023",(CLUP) Comprehensive Land Use Plan of Sta. Rosa City Laguna,PENDING,Architectural Thesis,02/25/2023 - 02/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItMDUxMTkxMTA2Mzk1DA
DOH,"February 25, 2023",Vaccination Certificate for our Family,PENDING,To expedite our request from vaxcert.doh.gov.ph which has been untouched for 10 days already,02/14/2023 - 02/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC04NDc4NDY3NzUyMDgM
DepEd,"February 25, 2023",Transcript of Record and Certificate of English as Medium of Instruction,PENDING,For employment overseas,07/07/2010 - 04/30/2011,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTE0Mzg0NjI4NzEzMww
DPWH,"February 25, 2023",Daily discharge data of rivers in Cagayan River Basin from 2010-2020,PENDING,Master's thesis,01/01/2010 - 12/31/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURQV0gtNzYxNTA0MDc2MTg5DA
DOE,"February 25, 2023","Energy, Power, Electricity, Oil Consumption",PENDING,Research,01/01/1965 - 02/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPRS03MjQxNTE1MDE0MTgM
DOT,"February 25, 2023",Average occupancy of resorts in Davao City (2022),PENDING,Research,01/01/2022 - 12/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPVC05MDEyNjU3MjUzNzIM
DDB,"February 25, 2023",REPORTED CASES BY TYPE OF ADMISSION IN REHABILITAION CENTERS IN REGION IV-A (CALABARZON),PENDING,Architectural Thesis,02/25/2023 - 02/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEREQi02NzA0NTQwNTU1MTMM
PNP,"February 25, 2023",Drug Abuse Treatment and Rehabilitation Center (DATRC) in REGION IV-A (CALABARZON),PENDING,Architectural Thesis,02/25/2023 - 02/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC00MTAxODgxNzU5NDEM
PSA,"February 25, 2023","The number of rice farmers per barangay in Cabanatuan City, Nueva Ecija.",PENDING,Research and Development,01/25/2022 - 01/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS00NTg4NDE1NDE5NDUM
PSA,"February 25, 2023",The number of commercial/industrial/manufacturing plants nearby Pasig River from 2020 to 2022,PENDING,Undergraduate Research,01/01/2020 - 12/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS01OTQ5NjgwODQ0MDUM
DOH,"February 25, 2023",Vaxx Certificate,PENDING,Abroad Purposes,02/25/2023 - 02/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC02ODA4MDE2MjkxMzIM
NEDA,"February 25, 2023",Request for a copy of the Regional Physical Framework Plan of Bicol Region,PENDING,Undergraduate Thesis,02/25/2023 - 02/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU5FREEtNTM3MTI3NDk5NTE5DA
BIR,"February 24, 2023",Email address for RDO 126 for RDO change,PENDING,RDO change,02/24/2023 - 02/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi01NzM3OTYxMDczNDEM
BIR,"February 24, 2023",BIR Form 2316,PENDING,These documents are for my skills assessment abroad purpose and also these documents showed proof of,10/01/2015 - 04/30/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi0zMjI3NjEwMzcwMzMM
DepEd,"February 24, 2023",Missing Person,PENDING,Safety,01/31/2023 - 02/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTg0ODE3Mzg3NDE3Ngw
DOLE,"February 24, 2023",second tranche dole akap,PENDING,for medical assistance and apply work,06/08/2017 - 06/08/2017,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtNDc3Nzk5ODExNjE4DA
PSA,"February 24, 2023",Data about Footwear and Leather Industry,PENDING,Research,01/01/2020 - 02/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS01NTU0OTcyNjE4MDcM
CHED,"February 24, 2023",Foreign Degree Accreditation,PENDING,Further study for career advancement,02/24/2023 - 02/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtOTExMzcxMTg2NjU3DA
NTC,"February 24, 2023",NTC VAS Provider Quarterly Report Form Templates,PENDING,For Our Quarterly Report,02/23/2023 - 02/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0zNjUwMDE5NDk3ODIM
BIR,"February 24, 2023",BIR Form 2316 - Year 2010 to 2014,PENDING,For my Immigration Documents,01/01/2010 - 01/01/2014,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi0yMzk1Mzk5NDk1NTQM
DOTr,"February 24, 2023",Local Public Transport Route Plan,PENDING,Research,01/01/2023 - 02/01/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPVHItODY4NTc3NjQwNDkyDA
BIR,"February 24, 2023",TAX collection from POGO,PENDING,Academic Purposed,12/30/2022 - 12/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi03MjAxNzIyNDg5ODgM
MARINA,"February 24, 2023",Cavite Manila Ferry System,PENDING,Research,02/24/2018 - 02/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIAsSB0NvbnRlbnQiE01BUklOQS03MDk1NDUxMjAwNTIM
DSWD,"February 24, 2023",The number of registered orphanages in Pampanga,PENDING,A Research Study for Architecture Thesis Student,01/01/2018 - 02/01/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURTV0QtNjQ3NTE2NTczMTExDA
PSA,"February 24, 2023",The number of registered orphanages for children in Pampanga,PENDING,A Research Study for Architecture Thesis Student,01/01/2018 - 02/01/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS02NDAyODAxMzgyNzEM
PSA,"February 24, 2023","Number of Employed residents of Iloilo city, Pavia Iloilo and Sta. Barbara, Iloilo",PENDING,Research and Development,01/31/2023 - 02/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS01MzAxMTA4MDQwNzAM
DOTr,"February 24, 2023",Dahlian Locomotive Specification of MRT3,PENDING,Research and Development,01/31/2023 - 02/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPVHItOTIzOTU0NTQ1MDc1DA
MGB,"February 24, 2023",Creek profile and water level data for creeks in Tubay,PENDING,Undergraduate Research,01/01/2018 - 02/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE1HQi05MjY5ODcxODcyMzIM
DA,"February 24, 2023",A certain NGO,PENDING,Verification,04/26/2022 - 02/23/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0RBLTM4ODA5MTA2MDc3NQw
PSA,"February 24, 2023",Supply and Demand of Chitosan in the Philippines,PENDING,Research and Development/Plant Design,01/01/2022 - 02/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS04NzAzNTE1ODY5ODQM
DAR,"February 24, 2023",A certain Ngo,PENDING,Verification,04/26/2022 - 02/23/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERBUi01MTc1NjE3ODA4MzEM
DILG,"February 24, 2023",A certain NGO,PENDING,Verification,04/26/2022 - 02/23/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURJTEctMzQwMjM2ODU1NzUyDA
NCIP,"February 24, 2023",A Certain NGO,PENDING,Verification,04/26/2022 - 02/23/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU5DSVAtNTQ0NzQ5MTg4Njk5DA
NTC,"February 24, 2023",Using phone numbers to scam we,PENDING,To stop cyber crime,02/24/2023 - 02/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0yMzQ3MjMxNjc1NjEM
NSWMC,"February 24, 2023",Healthcare Waste Generation in Pasay City,PENDING,Thesis,01/01/2018 - 02/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEk5TV01DLTA3MTA1NTMwMjQ1Mww
CNU,"February 24, 2023",PDEA intelligence Officer 1/Height waiver,PENDING,For applying PDEA Intelligence Officer 1,02/24/2023 - 02/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEENOVS05NzE3MjI0MDY0NTAM
NTC,"February 24, 2023",Block my stolen huawei phone,PENDING,Block and protect my account,01/23/2023 - 02/23/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy04MzQ2ODI1NTcyNTEM
PSA,"February 24, 2023",shrimp production in Cebu,PENDING,Research and Development,01/01/2022 - 02/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS05MTU5NTcyMzM2OTEM
DAR,"February 24, 2023",CLOA Title Status,PENDING,For Buying this property.,01/01/2003 - 02/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERBUi03NDMwNjYzNzg2NzEM
NBI,"February 24, 2023",UPESO LENDING CORP,PENDING,To report this app,02/15/2023 - 02/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS0xMzA0NjQ2MDIxMTMM
