agency,date,title,status,purpose,period_covered,link
DOH,"March 13, 2022",Lost of Vaccination Card,PENDING,Get a new Vaccination Card,01/03/2022 - 03/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0xMDM4MzU3ODgxNzAM
OWWA,"March 13, 2022",Number of OFWs in Poland per year in the last 10 years,PENDING,Research,01/01/2010 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU9XV0EtMjQ1MzIwMTIyOTQ5DA
SSS,"March 13, 2022",sss loan disbursement,PENDING,loan info,03/10/2022 - 03/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy02Nzc1NTUxMzYyNTMM
DOH,"March 13, 2022",Vaxcert,PENDING,For Deployment abroad,11/13/2021 - 12/11/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC05MjU2ODI1NTQ4NTkM
NBI,"March 13, 2022",Like share youtube online investment scam,PENDING,Upang Mahuli ang Mga tao ng pakalat at ng scam samin.at hindi na sila makapag biktima pa ng iba,02/02/2022 - 03/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS01MDUwNDU4NzYxNzcM
DSWD,"March 13, 2022",Financial Assistance after got scammed,PENDING,Pangbili ng makain at pambayad ng utang na overdue na for 7 months,03/10/2022 - 03/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURTV0QtMjY5NTE4Njc3NTIxDA
PAGASA,"March 13, 2022",Numbers of Disaster-related damages in the Province of Rizal,PENDING,Research & Development,09/01/2011 - 09/01/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIAsSB0NvbnRlbnQiE1BBR0FTQS04MzcwODU5NDEzMzMM
NCIP,"March 13, 2022",HEIGHT WAIVER,PENDING,PAF APPLICATION,03/13/2022 - 03/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU5DSVAtNjU1MzIzOTM1NzQyDA
NTC,"March 13, 2022",Complaint against globe,PENDING,Personal,03/10/2022 - 03/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy03MDU2NDI2NDg0MDMM
SEC,"March 13, 2022",Lending or Financing App or Company,PENDING,Research,01/01/2022 - 03/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNFQy00MTE2MTcyMDM4OTUM
