agency,date,title,status,purpose,period_covered,link
DILG,"December 13, 2022",List of Cemeteries in the Philippines,PENDING,Research and marker scoping,11/01/2022 - 12/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURJTEctNzI0MzIzNDUzMjU2DA
IC,"December 13, 2022",Exam result for insurance licensure exam and result for VUL exam from Sunlife bgc,PENDING,To verify and check if I passed the exam.,11/26/2022 - 12/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0lDLTY0MTExNzExNDE2OAw
ITDI,"December 13, 2022",Environmental Technology Verification,PENDING,Research,12/12/2022 - 12/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUlUREktNDk5MDU4MTcyNTQ1DA
PAGASA,"December 13, 2022",Number of climatologists in the Philippines,PENDING,Thesis purposes,12/12/2022 - 12/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIAsSB0NvbnRlbnQiE1BBR0FTQS0wMjAwNzA4MjgzNjIM
DepEd,"December 13, 2022",Annual Reports of DepEd between 1972-1985,PENDING,Research,09/22/1972 - 12/31/1985,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTM3OTg5MTUwMTUxOQw
DFA,"December 13, 2022","Cultural and educational treaties, and agreements between US and Philippines between 1972 to 1985",PENDING,Research,09/22/1972 - 12/31/1985,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERGQS02NzI0MzA0MDkwODQM
MMDA,"December 13, 2022",Disaster Risk Reduction and Management Plan of Caloocan City,PENDING,Research,12/12/2022 - 12/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU1NREEtMDgyNzA0NjU3NTMxDA
PSA,"December 13, 2022","2022 IRA of Bacoor City, Kawit, Noveleta, Cavite City, Rosario, Tanza, Naic, Maragondon, Ternate in",PENDING,Research and Development,01/01/2022 - 12/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS00OTgzNjc0ODQ0MTYM
NBI,"December 13, 2022",NBI CLEARANCE,PENDING,NBI CLEARANCE,07/15/2022 - 08/08/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS04NDQ3MzQ3MDc1OTAM
DTI,"December 13, 2022","List of PCAB contractors in Tuguegarao City, Cagayan with address",PENDING,Thesis,12/13/2022 - 12/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERUSS0zMDY1NDEzMjg4MTAM
NAMRIA,"December 13, 2022","Land Classification map and BFd Admin Order of areas of.. Paranaque, Pateros , taguig Paranaque",PENDING,Document gathering information research documentation,06/01/1967 - 06/01/1968,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyJAsSB0NvbnRlbnQiF0RFTlJOQU1SSUEtNzU2NTQ4MzIyNDIwDA
DepEd,"December 13, 2022",NAT RESULT,AWAITING CLARIFICATION,Graduate Study Quantitative Research,06/01/2018 - 06/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTYxODUzMTQ5Nzk1Mgw
DepEd,"December 13, 2022",High School transcript of Record,SUCCESSFUL,For Employment record,06/06/2005 - 04/03/2009,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTYwOTkxODE4ODIyNgw
BI,"December 13, 2022",Travel records certificate,PENDING,For travel to Taiwan,05/19/2015 - 10/26/2018,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0JJLTYwMDgzNTQ2Nzg2OQw
PSA,"December 13, 2022",The number of child abuse cases in the Philippines,PENDING,Thesis,01/01/2017 - 12/30/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS00MzA3MzQxMjQ4ODQM
NBI,"December 13, 2022",Criminal record,PENDING,Board exam,01/01/2005 - 12/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS0xMzExODYyODgxMTUM
LMB,"December 13, 2022",Cadastral map,PENDING,for reference only and future use,12/13/2003 - 12/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItOTYyNDcwODQyOTI0DA
NTC,"December 13, 2022",Sim card Regustration,PENDING,Registration of sim card,12/13/2022 - 12/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy00NzcyMDU0Mzg0NTgM
DOE,"December 13, 2022",Biomass availability from 2015 up to Nov 2022,ACCEPTED,Research and Development,01/01/2015 - 11/30/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPRS03OTQ0NjkyNTE3NTkM
PSA,"December 12, 2022","Number of People in the Muslim Community in Quaipo, Manila",PENDING,Thesis,12/12/2022 - 12/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0yNTgwOTE3Njk0MTMM
DILG,"December 13, 2022",List of Cemeteries in the Philippines,PENDING,Research and marker scoping,11/01/2022 - 12/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURJTEctNzI0MzIzNDUzMjU2DA
IC,"December 13, 2022",Exam result for insurance licensure exam and result for VUL exam from Sunlife bgc,PENDING,To verify and check if I passed the exam.,11/26/2022 - 12/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0lDLTY0MTExNzExNDE2OAw
