agency,date,title,status,purpose,period_covered,link
BSWM,"April 19, 2023","Water table and soil temperature in manila, philippines",PENDING,Undergraduate Thesis,04/18/2010 - 04/18/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJTV00tOTk3Mzc0Mjg0MTM1DA
NTC,"April 19, 2023",Dataset about Advance digital connectivity in the Philippines,PENDING,Educational Research,01/01/2019 - 12/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy04OTM1NDk0MzE0MTQM
PhilFIDA,"April 19, 2023","Value Chain Analysis/Roadmap of Abaca, Bamboo, Cotton, Pina, and Silk",PENDING,Research and development,01/01/2013 - 01/01/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIgsSB0NvbnRlbnQiFVBoaWxGSURBLTgwMzUwMzkxMTAwMQw
PRC,"April 19, 2023",Board Certificate (Lupon),PENDING,Employment,02/11/2011 - 04/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBSQy0wOTIwMzc4NDMyNjYM
DAR,"April 19, 2023",TCT Nos. NT-129766,PENDING,For possible development.,04/19/2023 - 04/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERBUi0yMzQ2MTA2MDQ3NzgM
PNP,"April 19, 2023",most common crime committed by youth in the city of Puerto Princesa,PENDING,research assignment,01/01/2022 - 01/01/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC00OTg2ODcyNTkwMDUM
BIR,"April 19, 2023",Request for a copy of my BIR 2316,PENDING,For Employment Application,01/10/2011 - 01/10/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi03MjI2MDUxNDM4MzUM
BOI,"April 19, 2023",Sheryl cortina Oleta Crespo,PENDING,Sheryl cortina Oleta Crespo,10/10/1981 - 10/10/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJPSS01MDkwMzA2ODg0MzMM
OVP,"April 19, 2023",REQUEST FOR MEDICAL ASSISTANCE/Hemodialysis/Medicines,PENDING,Request for Medical Assistance,01/25/2023 - 04/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC03OTA3NDg2MzQ4NDQM
NTC,"April 19, 2023",Tract and recover lost phone,PARTIALLY SUCCESSFUL,Trace and recover lost phone,04/14/2023 - 04/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0wNjg4MDQzNTI0NjUM
PHC,"April 19, 2023",Patent Ductus Arteriosus case,PENDING,Medical assistance,03/30/2023 - 04/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBIQy03ODA3ODc1NDY4NDgM
DepEd,"April 19, 2023",Proof of transcripts and proof of graduation from ALS,PENDING,Admission to Niagara College toronto,04/19/2012 - 04/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTQxMDY1NDc3NTQwNgw
LRA,"April 19, 2023","Delay in Processing Land Title in Registry of Deeds Bacoor City, Cavite",PENDING,Cancellation/Release of Mortgage,01/12/2023 - 04/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEExSQS02NTU1MDE1NjgyNDQM
CHED,"April 19, 2023",Number of Population age going tertiary school in Angono,PENDING,Architectural Research,04/18/2023 - 04/18/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtMTIzODkzMzAyNjQyDA
PSA,"April 19, 2023",Ages and number of PDLs with Comorbidity in 2020,PENDING,Thesis,01/01/2020 - 12/31/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS04Njc1MTU3NDAyOTEM
DOH,"April 19, 2023",Number of people with commorbidity,ACCEPTED,Thesis,01/01/2020 - 12/31/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC01NDExNzg0NzE1MzIM
BUCOR,"April 19, 2023",The ages of the PDLs in the 7 Correctional Facilities,PENDING,Thesis,01/01/2020 - 12/31/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkJVQ09SLTE1NTk5MjIzNTExNww
BFAR,"April 19, 2023","Number of Commercial Trawl Fishers in Calabanga, Camarines Sur",PENDING,Research,04/01/2022 - 04/01/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJGQVItMTkxMzYwOTY1MjEwDA
NTC,"April 19, 2023",LOST PHONE,PARTIALLY SUCCESSFUL,Disable my SIM and PHONE,04/18/2023 - 04/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0yNTQ1NDAxMDQ5MDIM
PSA,"April 19, 2023",Retired Population in Antipolo City,PENDING,"Research, Undergraduate Thesis",01/01/2023 - 01/01/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0xNDUwNzg1OTMxMzQM
BI,"April 19, 2023",TRAVEL HISTORY,PENDING,VISA APPLICATION,05/03/2008 - 11/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0JJLTIyNjcxMzU2NDU2MAw
NTC,"April 19, 2023",Lost phone,PARTIALLY SUCCESSFUL,Disable my phone,03/18/2023 - 03/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy01NjAzOTIzMjg0MzEM
PNP,"April 19, 2023",Statistics on CICL in Region 3,PENDING,Architectural Thesis,04/19/2023 - 04/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC05MDY5OTA2NTE2NzUM
DOH,"April 19, 2023",Future Plans for a DOH Mega/Regional Drug Rehabilitation Center in the Philippines,ACCEPTED,Architectural Thesis,04/19/2023 - 04/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC01MjA4MDA5NTU5NjAM
PNP,"April 19, 2023",Statistics on CICL in Metro manila,PENDING,Architectural thesis,04/19/2023 - 04/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC0xODA5OTAxNzY5NTQM
BI,"April 19, 2023",Arrival sticker,PENDING,OFW travel requirements,03/26/2023 - 04/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0JJLTcxMzg4NzcyODIzOQw
PAGASA,"April 19, 2023","Rainfall Intensiy Duration Frequency in Consolacion, Cebu",PENDING,research,04/19/2023 - 04/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIAsSB0NvbnRlbnQiE1BBR0FTQS0xMjA3ODkzOTA2MTEM
NCIP,"April 19, 2023",Indigenous Family tracing,PENDING,I want to know,04/08/2023 - 04/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU5DSVAtMTk3MjU5NTA1NDY5DA
DOH,"April 19, 2023",VaxCert Follow up,SUCCESSFUL,Work Purposes.,08/05/2021 - 08/05/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0yNjk0NzkzOTgzNDMM
PSA,"April 19, 2023",Marriage,PENDING,To make delivery request in PSA Serbilis,02/20/2023 - 03/09/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS01MjEwNDM1OTc2NDkM
DOLE,"April 19, 2023",The number of Students or Engineering Students taking OSH Training specifically BOSH and COSH,PENDING,Feasibility Study,04/18/2023 - 04/18/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtODY3Mzg2NTg0NDk5DA
PSA,"April 18, 2023",National ID,PENDING,To get my lost National ID.,11/11/2018 - 04/18/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0wNjcyOTcwNTY4NTMM
