agency,date,title,status,purpose,period_covered,link
SEC,"April 17, 2022",LEEFIRE,PENDING,To prevent fraud.,03/14/2022 - 04/17/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNFQy0wNDg1NDg4MDMxNjYM
NBI,"April 17, 2022",Identity Theft,PENDING,I want to delete all my infos in lending apps,03/18/2022 - 04/17/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS0wMzQzMTI1MTYwNDAM
DPWH,"April 17, 2022","Annual Average Daily Traffic (AADT) count data on Malolos, Bulacan.",PENDING,Academic Research,04/17/2015 - 04/17/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURQV0gtNDU4MjYwNzc4Nzc2DA
PRC,"April 17, 2022",Records Mismatched,PENDING,PRC ID renewal,04/17/2022 - 04/17/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBSQy03ODEyNTA5MDQ2MTEM
DOH,"April 17, 2022",Booster shot certificate,PENDING,Travel,01/07/2022 - 01/07/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC02NjE5OTY1NjU2OTMM
LRA,"April 17, 2022",48800,PENDING,Reconstitution of land title,04/05/2022 - 04/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEExSQS01NzA5Mjc2Njc0NDMM
IC,"April 17, 2022",Certificate or result of insurance commission exam,PENDING,For my application to insurance agent,01/06/2000 - 11/06/2009,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0lDLTU4MDQ4MjQ5ODQxMgw
NPC,"April 17, 2022",Cash me,PENDING,harassment,04/17/2022 - 04/17/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5QQy0xMDY4NTYwMjM4NTUM
DOJ,"April 17, 2022",Criminal case verification,PENDING,File an appeal,04/15/2022 - 04/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSi0zMjQ5Mzc5NjkxODUM
PSA,"April 17, 2022",The male to female ratio of labor force participation (per city/per region) in 2015,PENDING,Undergraduate dissertation for the UP School of Economics,01/01/2015 - 12/31/2015,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS04NDEwNDAwMzczNDIM
CHED,"April 17, 2022",Request of Special Order in Transcript of Records (TOR),PENDING,For my units in Library Science in NTC,07/01/2012 - 03/28/2016,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtOTY3NDQwMDU4OTIyDA
POEA,"April 17, 2022",OFW Statistics 2020-2021,PENDING,Training Module for OFW services,01/01/2020 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBPRUEtMzAxODUxOTM4NTcyDA
NTC,"April 17, 2022",Request to locate my stolen phone,PENDING,To get it back to me.,04/12/2022 - 04/17/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy04MzQ5Njg5OTcwMDgM
BFP,"April 17, 2022",Tax Verification Slip,PENDING,Pre-employment Requirement,04/17/2022 - 04/17/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJGUC00NDI5MDEzNTAzMzUM
DOH,"April 17, 2022",Re: Booster shot Certificate,PENDING,Requirements Abroad,04/17/2022 - 04/17/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0xNTUwMTEwMjU1OTMM
DOH,"April 17, 2022",Vaccination Card,PENDING,General,06/25/2021 - 07/23/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC03ODEwMjg5OTI0MjYM
NTC,"April 17, 2022",Track lost phone,PENDING,To find or locate lost phone,04/16/2022 - 04/17/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0wNTI5ODE0MjY4NDQM
