agency,date,title,status,purpose,period_covered,link
DOH,"January 25, 2023",Cancellation of VaxCert Update,PENDING,Travel purpose,01/01/2023 - 01/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC02MjYyMTU0NDIxNDMM
IC,"January 25, 2023",Validity of Insurance Commission Exams,PENDING,For personal reason,01/01/2022 - 01/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0lDLTI5OTAzMDg0MjExOQw
LLDA,"January 25, 2023",existing general land use and water use plan of the Laguna de Bay Basin,PENDING,Research,01/25/2023 - 01/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIgsSB0NvbnRlbnQiFURFTlJMTERBLTY4MTgxNDMxMjEwNww
PSA,"January 25, 2023",total number of live birth registered,PENDING,for research and statistical purposes,01/01/2000 - 12/31/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0zMzMzMjYyNjgxMjgM
PNP,"January 25, 2023",Policy on the Procurement of Firearms for Government Entity,PENDING,Procurement and Policy Formulation,01/01/2019 - 01/20/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC0wMTY5NjcwMzk2NjUM
LTO,"January 25, 2023",Updated registration in Lto,PENDING,Updated registration at LTO,12/01/2022 - 01/01/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEExUTy0wOTg0NzYwOTk4NTMM
LTFRB,"January 25, 2023",Update Registration of franchise,PENDING,For updated registration,12/01/2022 - 01/01/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkxURlJCLTkwOTM1MzA3NDI3NQw
DBM,"January 25, 2023",Certificate of Employment/Service Record,PENDING,Employment - One of the requirements in a government job hiring,12/25/2022 - 01/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERCTS0yNzM2Njk4MDk3NDUM
DOH,"January 25, 2023",Vaxcer,SUCCESSFUL,Travel,01/24/2023 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC03NzA0NzQ0MTE2NDEM
NTC,"January 25, 2023",Track my phone using imei,PENDING,Find my phone,01/25/2023 - 01/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy05MTYzNzAxMzMyMTIM
PCSO,"January 25, 2023",Burial assistance,PENDING,Burial assistance,01/19/2023 - 01/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBDU08tNjAyODg1MzkzNzMwDA
SSS,"January 25, 2023",sss contribution for employees,PENDING,for legal complaint,01/25/2020 - 01/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy0zMDg0NzI5NTI5NjAM
SEC,"January 25, 2023",sec registration,ACCEPTED,for legal complaint,01/25/2020 - 01/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNFQy04MTcyMDg5OTQ5MDUM
DOLE,"January 25, 2023",TREHAND STEEL CORPORATION,PENDING,for legal complaint,01/01/2020 - 01/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtMjA1NTE1Mzg1NTcyDA
DepEd,"January 25, 2023",Results of the National Achievement Test in Taguig City for the School Year 2017-2018,PENDING,Research and academic purposes,01/01/2018 - 01/31/2018,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTAxMzM5NDAyNTg3Mww
PRC,"January 25, 2023",Record mismatch,PENDING,Renewal of prc license,01/25/2023 - 01/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBSQy0xNDIwMDE0Mzg1MTEM
NTC,"January 25, 2023",To Retrive my lost Iphone 11,PENDING,To track my lost phone and can reuse the same number into new simcard,01/25/2023 - 01/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy04NzMwMTc0NTU2MzYM
IC,"January 25, 2023",List of passers,AWAITING CLARIFICATION,For licensing processed,01/25/2023 - 01/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0lDLTA1MjE4MjI2NzUxNgw
NTC,"January 25, 2023",We misplaced our cellphone at home and cant find it anymore,PENDING,To track para magamit pa po .kung hindi na po matrack iblock na lang po agad,12/29/2022 - 01/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy01Mjc3ODQwODkzNzMM
CIC,"January 25, 2023",Credit Report,PENDING,For Personal Use and Employment Requirement,09/13/1986 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEENJQy0xMTcxMzg1NzU2NjgM
DOH,"January 25, 2023",Lost Vaccine Card,SUCCESSFUL,A new copy of my vaccine card,01/24/2023 - 01/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC00NDg4ODQ1MDU2NzkM
NBI,"January 25, 2023",Unfreezing my Unionbank account,PENDING,To unfreeze and retrieve back my money.,01/18/2023 - 01/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS00NTM4NTYzMTQxNjYM
PSA,"January 25, 2023",PhilSys Tracking Number,PENDING,TRACKING,03/09/2022 - 04/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0xODg1NTkxNDc2MzEM
DOH,"January 25, 2023",I would like to request for a new vaccination card because I lost my copy.,SUCCESSFUL,To be used in an educational tour soon,11/05/2021 - 11/26/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC04MDM1NjI3NzkwMDYM
CDA,"January 25, 2023",List of Cooperatives in the Philippines,ACCEPTED,Research and Development,01/01/2012 - 12/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEENEQS0zNDcwNzUzNTg0NzkM
DepEd,"January 25, 2023",Pept results Jan 1998-Jan2000,PENDING,I want to know if I am passer,01/01/1998 - 01/01/2000,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTE5MjM4NjgxODY4OQw
DOLE,"January 25, 2023",margareth rillo suspect for murder and dreaded blacklist scammer in JobStreet 2023 reported in PNP.,PENDING,Blotter Report Lifetime Permanent Banned Blacklist Order and arrest warrant for dreaded blacklisted,01/01/2018 - 01/25/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtMjM0NDMxMjIzNjg3DA
PSA,"January 24, 2023",Pasig - Adolescent Birth Rate and (modern) Contraceptive Prevalence Rate,PENDING,Research,01/01/2019 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0zOTE5Mjg0Njc2OTkM
NBI,"January 24, 2023",margareth rillo suspect for murder and dreaded blacklist scammer in JobStreet 2023 reported in PNP.,PENDING,Blotter Report Lifetime Permanent Banned Blacklist Order and arrest warrant for dreaded blacklisted.,01/01/2018 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS04NTgwNDYwODM0NTcM
CHED,"January 24, 2023",Economic profile of students under Arts-Related programs,PENDING,Research and Thesis,01/24/2023 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtODE3ODQ3NjIwNzE0DA
NBI,"January 24, 2023",REFUND MY PAYMENT FOR NBI CLEARANCE,PENDING,TO REFUND MY PAYMENT FROM GCASH,01/24/2023 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS04NzUxOTI1MTQzNDYM
DOTr,"January 24, 2023","Number of Commuters in Santa Mari, Bulacan",PENDING,Architectural Thesis,01/24/2023 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPVHItMTgxMDU4MDM0Mzk2DA
DepEd,"January 24, 2023",The Number of Arts and Design Track Enrollee in the Philippines,PENDING,Research and Thesis,01/24/2023 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTIzNTEzNDIyODQ4MAw
NIA,"January 24, 2023","Irrigation Systems in San Juan, Batangas",PENDING,Architecture Thesis,01/24/2023 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5JQS00MzM1Nzk4MDg2OTYM
DILG,"January 24, 2023","CLUP, SAR, ZO of San Ildefonso Bulacan",PENDING,Capstone Design,01/24/2023 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURJTEctNTA0ODQ0MDU3NDgwDA
PSA,"January 24, 2023",Population Census Every 5 Years in the Philippines from 2001 to 2021,PENDING,Academic Research,01/01/2001 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS00OTE3NzIxNjQ4NzAM
NBI,"January 24, 2023",Rodelyn Barde Asiao,PENDING,To get my money,01/01/2022 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS0wMjMxMDQ2Mzg1MzAM
UsaP,"January 24, 2023",Rodelyn asiao,PENDING,To get my money to ms rodelyn,01/01/2022 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVVTQVAtMTg3NjUwMzE0MzQzDA
DOT,"January 24, 2023","Tourist Arrivals in Sta Ana, Cagayan Valley",PENDING,"The National Tourism Development Plan 2023-2028 Sta Ana, Cagayan Valley",01/24/2019 - 01/24/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPVC03MzgyOTcyMzc3MTAM
DepEd,"January 24, 2023",ALS DIPLOMA AND CERTIFICATE,PENDING,For application,02/11/2008 - 03/14/2008,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTczNjQ3MTQ3MDU0OAw
PNRI,"January 24, 2023",IQAir website,PENDING,Research Data,01/23/2023 - 01/23/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBOUkktNzAzNTQzMjY1NjM0DA
DA,"January 24, 2023",Volume of agricultural wastes per province in the Philippines,PENDING,Thesis,01/24/2015 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0RBLTQwNDQ2NjgyMjIyMgw
DOH,"January 24, 2023",Vaccination Correction Request,SUCCESSFUL,Travel requirements,01/16/2023 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0wNDE3MTA4MjA4NTgM
CHED,"January 24, 2023",Transcript of Records,PENDING,Employment,06/01/2012 - 05/31/2016,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtMTQwODE1MzQ4MDY5DA
IA,"January 24, 2023",The number of resident-tourism workers in Intramuros Manila,PENDING,For Research Purposes at LPU Manila,09/08/2022 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0lBLTU2NTU5ODc2NDU2NQw
DOT,"January 24, 2023",Calaguas Island,PENDING,Research and Development,01/01/2000 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPVC05NzYwNjM4ODU1MzYM
SEC,"January 24, 2023",OLA harassment,ACCEPTED,Stop OLA harassment and their scam scheme,12/29/2022 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNFQy0yMzY4NDMxNDI1NzYM
NBI,"January 24, 2023",OLA harassment,PENDING,Stop OLA harassment and their scam scheme,12/30/2022 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS01NjA4MjM2MTQyMjMM
BIR,"January 24, 2023",income tax return,PENDING,application of scholarship program,01/24/2023 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi0zNzY3MDg3OTQ4MjYM
PAGASA,"January 24, 2023","10 yr forecast for rainfall and temperature in San Mateo, Isabela",PENDING,Research,01/01/2022 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIAsSB0NvbnRlbnQiE1BBR0FTQS0zMjEwMjUxODIwMzAM
LMB,"January 24, 2023","CLUP, CDP, Zoning Plan of Cebu City",PENDING,Architectural Thesis study,01/24/2023 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItMzg3MDY0MTA2ODkyDA
LMB,"January 24, 2023",BLLM coordinates and map location,PENDING,Research and survey work construction reference.,01/23/2023 - 01/23/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItODE5NDEwMjE1NTU1DA
DepEd,"January 24, 2023",EMOI/MOI - Certificate of English as Medium of Instructions,PENDING,apply for student visa,06/04/2007 - 03/25/2010,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTU2NDY1MTUxMDI3Mgw
NTC,"January 24, 2023",Track Stolen Phone,PENDING,"I want to block my stolen phone, so no one could use it.",01/24/2023 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy01MjA4NzcxNTQyNjUM
LTO,"January 24, 2023",LTO Memorandum Circular No. 2017-2078,PENDING,Research,01/01/2017 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEExUTy00Nzc4NjE1MDc3NjIM
CHED,"January 24, 2023",TOR Request from a Closed College,PENDING,Requirement for Graduation,06/01/2013 - 11/30/2013,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtMzAxMzExODA3MTUwDA
DepEd,"January 24, 2023",Alternative learning system diploma or certificate copy,PENDING,Requirements for applying job,06/12/2008 - 09/12/2008,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTQ5NDQ3MDEwMDE0NAw
BIR,"January 24, 2023",1904 Verified,DENIED,Pag ibig housing loan,11/21/2007 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi02OTE5MjM2NjY1MjYM
NBI,"January 24, 2023",Criminal or civil cases filed against a person,PENDING,Public records for cases to establish the real identity of the person,01/01/2016 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS00NzU2NTc3NjQ1MDYM
DOH,"January 24, 2023",CRESILDA CANTUTAY,SUCCESSFUL,to have and update in my vaccine certifcate information,01/24/2023 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC02MTQzMzY5OTg2NjcM
PNRI,"January 24, 2023",IQAir website,PENDING,Research Data,01/23/2023 - 01/23/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBOUkktNzAzNTQzMjY1NjM0DA
DA,"January 24, 2023",Volume of agricultural wastes per province in the Philippines,PENDING,Thesis,01/24/2015 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0RBLTQwNDQ2NjgyMjIyMgw
DOH,"January 24, 2023",Vaccination Correction Request,SUCCESSFUL,Travel requirements,01/16/2023 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0wNDE3MTA4MjA4NTgM
CHED,"January 24, 2023",Transcript of Records,PENDING,Employment,06/01/2012 - 05/31/2016,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtMTQwODE1MzQ4MDY5DA
IA,"January 24, 2023",The number of resident-tourism workers in Intramuros Manila,PENDING,For Research Purposes at LPU Manila,09/08/2022 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0lBLTU2NTU5ODc2NDU2NQw
DOT,"January 24, 2023",Calaguas Island,PENDING,Research and Development,01/01/2000 - 01/24/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPVC05NzYwNjM4ODU1MzYM
