agency,date,title,status,purpose,period_covered,link
OWWA,"November 10, 2022",The number of OFWs in Region IV-A,PENDING,Research and Development,11/10/2012 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU9XV0EtNjQ2MDU1MzY4NDg4DA
PSA,"November 10, 2022",Labor Force and Employment of Batangas,PENDING,Architectural Thesis,01/01/2014 - 01/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS05NDE5Njk5MDQ5NjAM
PCA,"November 10, 2022",2020-2021 poverty incidence of coconut farmers,PENDING,PCA Case Study - Effectiveness of Govt Corps,01/10/2020 - 12/10/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBDQS04OTMyOTM5NjM3OTQM
PSA,"November 10, 2022",Poverty incidence of coconut farmers for 2020 and 2021,PENDING,Philippine Coconut Authority Case Study - Enhancing the Effectiveness of Govt Corps.,01/10/2020 - 12/10/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS05Njk2MDgyMjIzOTIM
NBI,"November 10, 2022",FACEBOOK SCAMMER - NELLIE ROSE BRAGANZA BENITO,PENDING,To investigate and retrieve funds and put her in chains,11/09/2022 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS00NzE1NjUwMDM5NjMM
BI,"November 10, 2022",APPLICATION TO LIFT ALERT LIST ORDER,PENDING,For Client Assistance,10/01/2022 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0JJLTEyMTgzMTQzNzY2MQw
SEC,"November 10, 2022",PAYSO's PesoBuffet and MocaMoca Online Loan App Concern,PENDING,Online Loan Apps Unlawful Procedure,10/28/2022 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNFQy01Mzg0MzYxODAzODMM
NBI,"November 10, 2022",PAYSO'S PesoBuffet and MocaMoca Online Loan App Concern,PENDING,Online Loan Apps Unlawful Procedure,10/28/2022 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS02NjQ4NzYyMTgyMDYM
HDMF,"November 10, 2022",Statement of Account of my Loan,PENDING,requirement for employment,05/15/2021 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUhETUYtMzc2Mzg4OTI2ODc4DA
CHED,"November 10, 2022",NSTP SERIAL NUMBER,PENDING,APPLICATION FOR GRADUATION,08/03/2019 - 05/08/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtMDQ5NDI0NTcxNzU5DA
DOH,"November 10, 2022",latest oral health care statistics,PROCESSING,for researh and school requirement purposes,01/10/2017 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0wMDIwMzExMDc0NTAM
SSS,"November 10, 2022",SSS Loan Voucher,PENDING,SSS Loan Voucher for my pr-employment requirement.,11/10/2022 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy0xNjUwNTc5NDEzMzAM
PSA,"November 10, 2022",National ID,PENDING,Change of Address for Receiving of National ID,11/10/2022 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS04NDkxNzcwNzA3MDIM
LMB,"November 10, 2022",GIS of Barangay Boundary in the Philippines,PENDING,Research and Development,11/09/2015 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItODkzOTA1MjY1OTE2DA
PRC,"November 10, 2022",To change my name to match my Leris account,PENDING,To change my name to match my Leris account,11/09/2022 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBSQy00MDY5MjI2NzAyNTEM
NBI,"November 10, 2022",Paragon dept Scam,PENDING,To report and get my money back,11/04/2022 - 11/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS02MDc1NTcwMjk5MjIM
DICT,"November 10, 2022",Details on Digital Transformation Centers,PENDING,Architecture thesis research.,11/10/2022 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURJQ1QtMzc2MTk4MDU4OTE0DA
PNAC,"November 10, 2022",The number of AIDS cases in the Philippines from the year 2019-2022,PENDING,Research,01/01/2019 - 01/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBOQUMtMDM3MDMyMzYzODc3DA
NBI,"November 10, 2022",REFUND MY PAYMENT FOR NBI,PENDING,To refund my payment for nbi,11/10/2022 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS05MjU5OTA3NDY3MDcM
UsaP,"November 10, 2022","The population of pasig city in the years 2017,2018,2019,2020, and 2021",PENDING,Research and development,11/10/2017 - 11/10/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVVTQVAtNzU4MTcxNTc3Njk4DA
PNP,"November 10, 2022",The Number of Elderly Abandoned/Neglected Individuals in CALABARZON and Batangas City,PENDING,Architectural Thesis,11/10/2022 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC04MDI4NDM1NDEyODQM
DOH,"November 10, 2022",Number of Elderly Afflicted Individuals in CALABARZON and Batangas City,PENDING,Architectural Thesis,11/10/2022 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0wODYyMTMwMDc0MzQM
PSA,"November 10, 2022",CSEA information from national crime surveys,PENDING,Research and development,11/09/2000 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS04ODM5NDkwMjI0ODQM
PNP,"November 10, 2022",CSEA information from police/surveillance data,PENDING,Research and development,11/09/2000 - 11/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC0yNzUyNzI5NzM4MjEM
DA,"November 10, 2022",Agricultural Researchers Statistic in the Philippines,PENDING,Architectural Thesis Capstone,11/10/2000 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0RBLTAxNzUxOTM3NDI3Ngw
BFAR,"November 10, 2022",Request for Data on Fisheries Sector in the Province of Rizal,PENDING,Research and Development,01/01/2015 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJGQVItNjU5MDU0ODAwNTMyDA
DOH,"November 10, 2022",Booster shot cert,SUCCESSFUL,Travel abroad,11/10/2022 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC01NjU1NTYwNzUwMDcM
CAAP,"November 10, 2022",Building Height Limit,PENDING,For my undergraduate thesis,11/09/2021 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNBQVAtNDEwMDQzMzMxMTk4DA
GAB,"November 10, 2022","Revenue of eSports games, Games at SEA Games, and the teams you handling, players and orgs.",PENDING,For my undergraduate thesis.,11/09/2021 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEdBQi0yOTk4NzI5Nzk2MjkM
DOH,"November 10, 2022",Booster Shot Cert.,SUCCESSFUL,Travel abroad,11/08/2022 - 11/08/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0yMjMzNDI0MTUwOTEM
ISU,"November 10, 2022",Evaluating The Condition of Stray Cats and Dogs in the Province of Isabela,PENDING,Research for Evaluation purposes,01/01/2012 - 11/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEElTVS04NDk1MDY5NTQ3NzMM
NBI,"November 10, 2022",Online Harassment Investigation - Perabag,PENDING,Prevent fraud and online harassment,10/01/2022 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS02OTEzMTczMzEwMjMM
PSA,"November 10, 2022",CENSUS,PENDING,ARCHITECTURAL THESIS,11/10/2022 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0zMzIzMTUzNzc2NTgM
CHED,"November 10, 2022",College Students Data in PH and Manila City,PENDING,Thesis Research,11/10/2022 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtNjc2NDE0NDA1Njg2DA
SSS,"November 10, 2022",PROCEEDS FOR APPROVED SALARY LOAN NOT YET CREDITED ON MY NOMINATED BANK ACCOUNT,PENDING,Follow up of Proceeds/ Loan Disbursement.,11/02/2022 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy0yMzI3MTM4OTM2NzYM
DOH,"November 10, 2022",Health Records in Quezon City,PENDING,For Architectural Thesis purposes,11/10/2022 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0xNzk0NzcwNTIwMjQM
DOJ,"November 10, 2022","The Number of Violence Against Women is in Nasipit, Agusan del Norte",PENDING,Research Purposes,01/01/2015 - 11/10/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSi01NTk5NzU5NzcxNDcM
BIR,"November 10, 2022",TIN Verification Slip,PENDING,Pre-employment requirement,11/09/2022 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi0xNDM2NDk5NDY3MTIM
DENR EMB,"November 10, 2022",Air Quality Data in every region of the Philippines from the year 2018 - 2021,PENDING,Research - to aid in the completion of our undergraduate research,01/01/2018 - 10/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJFTUItMjIwNTk5MTI5NzY2DA
NTC,"November 10, 2022",TO BLOCK MY STOLEN PHONE,PARTIALLY SUCCESSFUL,So im to block my stolen phone to prevent using it from theft.,11/09/2022 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0wOTc0NDczNDkzMjYM
BIR,"November 09, 2022",REQUEST FOR TIN VERIFICATION SLIP,PENDING,PRE EMPLOYMENT REQUIREMENTS,11/09/2022 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi00MzI5NzQ5MjI5MzMM
DOH,"November 09, 2022",Ocais,PENDING,Personal needs,05/27/2019 - 09/11/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC03MzEzMjE5MDMxNjEM
PSA,"November 09, 2022","Population by age group in Lipa City, Batangas",PENDING,Thesis,11/09/2022 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS04MzYwODczMjg3NDIM
PSA,"November 09, 2022","Age Statistics of Population in Lipa City, Batangas",PENDING,Research/Thesis,11/09/2022 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS03NzcwMzk4NzE5NjUM
BSWM,"November 09, 2022","Soil Type, Soil Classification at Soil Suitability",PENDING,I am going to use it for my undergraduate thesis.,11/09/2021 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJTV00tMzkxNjQ1MjE0MTEwDA
DPWH,"November 09, 2022",Documents regarding the sale of Samibul Water district,ACCEPTED,Participatory governance,01/01/2021 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURQV0gtMzI5NDg5MzYwODY4DA
SANBWD,"November 09, 2022",Documents Related to the sale of Samibul Water District,PENDING,Participatory governance,01/01/2021 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIAsSB0NvbnRlbnQiE1NBTkJXRC0zMjM5MzU3MDk3ODIM
DOH,"November 09, 2022",Total Number of Tuberculosis Cases in every Region in the Philippines from the year 2018 - 2021,ACCEPTED,Research - to aid in the completion of our undergraduate research,01/01/2018 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC04ODM3OTA0OTU2MDkM
BSWM,"November 09, 2022","Geologic Map and Soil Map of Ermita, Manila",PENDING,Capstone (Research),01/01/2022 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJTV00tNDEyODc0NjU2NDAwDA
PSA,"November 09, 2022","Tarlac City, Tarlac total population from 2015-2021",PENDING,Feasibility study,01/01/2015 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0xNTcwOTc0MDQxNDcM
LMB,"November 09, 2022","Request for Latest CLUP, CPD, and Zoning Ordinance of Amadeo, Cavite",PENDING,Architectural Study,11/09/2022 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItMjEyNTQyMzgzNjA4DA
DOLE,"November 09, 2022",Labor Force and Employment of Batangas,REFERRED,Architectural Thesis,01/01/2014 - 01/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtMzA3NzM0MDY4NDc0DA
PSA,"November 09, 2022",Labor Force and Employment of Batangas,PENDING,Architectural Thesis,01/01/2014 - 01/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS01MTQ1NDY2NjQ2MTAM
BFP,"November 09, 2022",Tagbilaran City Bohol on the frequency of fire incidents in the city and suburbs,PENDING,Thesis,01/01/2010 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJGUC03MzIzODU3NzA4NDcM
NBI,"November 09, 2022",Loan Moto Lending,PENDING,Stop Harrasement,11/07/2022 - 11/07/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS04OTg0MDQ5MTI4NzEM
NTC,"November 09, 2022",Stolen phone,PARTIALLY SUCCESSFUL,To find my phone and the person do this,11/09/2022 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy04NzU0MDA5MjYyNDIM
NBI,"November 09, 2022",FT Loan Lindeng,PENDING,Stop Harrasement,11/09/2022 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS01MzMyMTQ4MzYyMDQM
NBI,"November 09, 2022",Death Threat via SMS Text Message,PENDING,Report death Threat.,11/09/2022 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS03MTA5ODI3MTYzMDAM
DOTr,"November 09, 2022",Study of Ergonomically Designed Bus,PENDING,Feasibility Study,01/01/2016 - 11/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPVHItNDU0ODQwMjEzNzQ3DA
DOH,"November 09, 2022",The number of reported cases of Male Breast Cancer in Palawan and in all of the Philippines,PENDING,Research,01/01/2015 - 11/08/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC00NDgwMzUyMjk2NDMM
DENR,"November 09, 2022",DENR DAO 2011-06,PENDING,School Report,01/01/2011 - 12/31/2011,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURFTlItODcxNDQxNzY0MTgzDA
PNP,"November 09, 2022",Classification of Road Accidents in Davao del Norte,PENDING,Research and development,01/01/2017 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC02MzUzMTg3OTUxNjQM
GAB,"November 09, 2022",Amending the rules and regulations governing professional boxing in the philippines,PENDING,Research and Development,01/01/2019 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEdBQi05NjAxMzQxMzg4ODYM
DICT,"November 09, 2022",Vaccination Certificate with QR code,PENDING,Employment and Travel Abroad,06/24/2021 - 07/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURJQ1QtNTk1MjQ5MzAzNjg0DA
DOH,"November 09, 2022",Lost Vaccination Card,SUCCESSFUL,Department of health,06/17/2021 - 07/19/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC00NTIyNzI3OTg4NTYM
PEZA,"November 09, 2022",IT-BPM Industries from PEZA to BOI,PENDING,Policy Brief,11/09/1990 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBFWkEtMzMzNTQyNDkxMTU1DA
PSA,"November 09, 2022",Bataan Employment Rate 2019-2020,PENDING,Educational Purposes,12/31/2019 - 11/08/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0xMDgwNjYwMzEwNTYM
ERC,"November 09, 2022",Detailed Electricity,PENDING,Small scale rooftop solar market potential study,01/01/2020 - 03/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEVSQy0zNzkyNDE2OTY3OTgM
DPWH,"November 09, 2022","An Official Plan of 2-Storey School Building at Dugong Elementary School, Bucay, Abra.",PENDING,Research and Development,11/08/2022 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURQV0gtMjI1NzgwMDYzMjM5DA
DTI,"November 09, 2022","The Total Number of Registered Small Businesses in Cabanatuan City, Nueva Ecija",PENDING,Business Research Respondents,01/01/2022 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERUSS04Mzg3MjM4MTk2NjMM
OWWA,"November 09, 2022",My ex's husband surname,PENDING,For job application,11/09/2022 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU9XV0EtMzE1MzcyMDQwODU5DA
NHA,"November 09, 2022","The Technical Plans for Punta Tenement in Sta. Ana, Manila",PENDING,Academic Purposes,11/09/2022 - 11/09/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5IQS0zNTc4NDU2OTUxNzIM
