agency,date,title,status,purpose,period_covered,link
DOH,"April 24, 2022",Wrong info on my vaxcert,PENDING,For travel purpose to work as a seafarer,01/14/2022 - 04/07/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0wMDg1MDAyNDkzMjcM
PSA,"April 24, 2022",List of MSMEs in NCR according to their formation,PENDING,Undergraduate thesis.,01/01/2019 - 04/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS02Nzg5NjM4MzE5OTYM
DTI,"April 24, 2022",List of Classification of MSMEs,PENDING,Undergraduate thesis.,01/01/2019 - 04/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERUSS00Njg4NDY0NzEzMDcM
OSG,"April 24, 2022",Decision On Civil Case no. 1662 RTC Gapan Branch 36 Declaration of Nullity of Marrige,PENDING,Confirmation on the status of the annulment case.,05/28/1997 - 04/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9TRy0wMDU3ODg0MTQxOTIM
PNP,"April 24, 2022",Number of traffic violation,PENDING,Use for research,01/01/2022 - 02/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC01MDk5Mzk1NjUwNDEM
PSA,"April 24, 2022",Population density of every barangay of tacloban city,PENDING,Research purposes,07/04/2020 - 08/01/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0zMDY2MzQ3NDg1NjAM
DTI,"April 24, 2022",Administration Of Financial Marketing EN-CORE CAPITAL,PENDING,Proof of Legitimacy,04/24/2022 - 04/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERUSS05MzcwMDU5MDMwMjEM
PSA,"April 24, 2022",Consumer Price Index for all income household in Albay for February 2022 and March 2022,PENDING,Internship task for PSA Albay,02/01/2022 - 03/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS02MDU3MDMxMzU5MzIM
SEC,"April 24, 2022",En-Core Capital Holding OPC,PENDING,Proof of Legitimacy,04/24/2022 - 04/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNFQy0yODQ1NzA4NDI5MDAM
DOLE,"April 24, 2022",Salary Information in the Construction Industry,PENDING,Research and Development,01/01/2018 - 02/14/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtNDMxNzc0MjMxNzY0DA
DOH,"April 24, 2022",Human Resource for Health Statistics in Region 2 (Cagayan Valley),PENDING,Research,01/01/2010 - 01/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0xNDUyMjI0OTE5NTMM
DOH,"April 24, 2022",Covid Vaccination Card,PENDING,Covid Vaccination Card or Certificate,08/11/2021 - 02/23/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC01OTAyNzMwNTU4NTMM
NTC,"April 24, 2022",a stolen phone,PENDING,the cellphone is for communications with my family abroad and for my online classes purposes,04/23/2022 - 04/23/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0wMTA0MTkwMTEzMDcM
DTI,"April 24, 2022",Total Number of Small Restaurant Owners in Iloilo City,PENDING,Research and Development,04/24/2020 - 04/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERUSS0zNTc3MzI4MjA5MzEM
DTI,"April 24, 2022",Total Number of Failed Small and Medium Enterprises (SMEs) in Iloilo City,PENDING,Research Purposes,03/01/2020 - 04/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERUSS03NjE0OTAyNTk4NzMM
