agency,date,title,status,purpose,period_covered,link
DepEd,"June 19, 2022",Data about senior high school students in the Philippines from 2017 to 2022,PENDING,News reporting,06/01/2017 - 06/19/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTk5NTk1NTgxOTYyMww
BIR,"June 19, 2022",ITR,PENDING,Visa Application,06/19/2018 - 06/19/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi0xMDAzMjA0MzQyMzMM
LMB,"June 19, 2022",Land status,PENDING,Verification,06/18/2022 - 06/18/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItMTYyOTEyOTY0OTMyDA
NTC,"June 19, 2022",Request to Blocked of Lost/Stolen Mobile Phone,PENDING,Confirmation if IMEI is already blocked,06/10/2022 - 06/19/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy03Nzk4OTM2MDQ1OTcM
SSS,"June 19, 2022",Follow up for Funeral Claim,PENDING,Follow up for Funeral Claim,06/18/2022 - 06/18/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy02MDc0MzQ0MjMyNTAM
NBI,"June 19, 2022",Miriam Suntech Work scam,PENDING,Work scam,06/07/2022 - 06/19/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS0zMTk2NzIwNjU1NzMM
PSA,"June 19, 2022","Gainful Workers 15 Years Old and Over by Major Occupation Group, Age Group, and Sex in Pasig City",PENDING,Undergraduate Thesis,01/01/2020 - 12/31/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS01MzAyNjc0OTkwMTMM
PSA,"June 19, 2022",CRS-ITP PPP contract,PENDING,Research,06/19/2022 - 06/19/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0wMjU1Nzg3NDE4NjIM
PSA,"June 19, 2022","Gainful Workers 15 Years Old and Over by Major Occupation Group, Age Group, and Sex",PENDING,Undergraduate Thesis,01/01/2020 - 12/31/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0zMDc4MzkwNjcyNjcM
NSWMC,"June 19, 2022",Regional or National Waste Diversion Targets,PENDING,Research and development,06/19/2022 - 06/19/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEk5TV01DLTc1OTIyNzM0MDgyNAw
PSA,"June 19, 2022","Gainful Workers 15 Years Old and Over by Major Occupation Group, Age Group, and Sex in Taguig City",PENDING,Undergraduate Thesis,01/01/2020 - 12/31/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS01MzE5MzMyMTE4NzYM
