agency,date,title,status,purpose,period_covered,link
LMB,"November 25, 2022",Consolidation Subdivision Plan of Lot 622 and 623 Orion Estate - BCS-03-000014(OLT),PENDING,For reference,12/28/1982 - 10/28/1983,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItNzk5NDMwNDY3MTAwDA
DOH,"November 25, 2022",Current Status of Cavite Center for Mental Health,PENDING,Architectural Thesis,11/25/2022 - 11/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0xMjkyOTY1ODQ3NTAM
BPI,"November 25, 2022","Sweet Potato in Paniqui, Tarlac",PENDING,Thesis,01/01/2021 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJQSS00ODg5NjE5MzQzNDAM
NTC,"November 25, 2022",Online loans harrassment,PARTIALLY SUCCESSFUL,Mkahingi Ng tulong pra makausap Ang may Ari Ng online loan sites pra mkipagkasundo,11/20/2022 - 11/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy00MTczMjEwNDE0NDYM
BIR,"November 25, 2022",Zonal Valuation of Kapalong Davao Del Norte,PENDING,"For helping IP Pastors of the area, they want the zonal value of their land . Thank you!",11/25/2022 - 11/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi02OTAyMTg2NTE2MTUM
UsaP,"November 25, 2022",Comprehensive Land Use Plan of Pasig City (CLUP),PENDING,Research project in Architectural Design 8,11/25/2022 - 11/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVVTQVAtODg4ODM1MzI1MjQ2DA
DOH,"November 25, 2022",Vaccination Card,SUCCESSFUL,Gagamitin po para sa seconded dose booster namin sa December,11/24/2022 - 11/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC03ODEyMDczOTk0OTAM
NAMRIA,"November 25, 2022","Binondo, Manila Master Plan",PENDING,Research,01/01/2006 - 10/30/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyJAsSB0NvbnRlbnQiF0RFTlJOQU1SSUEtMTIyNTc4MTIzNjg1DA
NEDA,"November 25, 2022","Binondo, Manila Master Plan",PENDING,Research,01/01/2006 - 10/30/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU5FREEtMDIzNDk5Mjg5MDg1DA
NTC,"November 25, 2022",Filing Complain Against Gcash,PENDING,Complain to take my money back,11/20/2022 - 11/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0wNDAxMjU2MjEzNTgM
LTFRB,"November 25, 2022",FARE MATRIX 2022 OF PANGASINAN,PENDING,Fare Reimbursement 2022,10/01/2022 - 11/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkxURlJCLTgyNDg1OTgwMTQwMAw
NPC,"November 25, 2022",Harassment,PENDING,Harassment and threats,11/25/2022 - 11/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5QQy01ODU4NDA3MzcwODgM
NAP,"November 25, 2022",Deed of Sale,PENDING,Verification of document.,02/20/2008 - 02/20/2008,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5BUC0zMTM2OTI2MTMzNTcM
PSA,"November 25, 2022","Population of each barangay in Sta. Ana, Cagayan",SUCCESSFUL,Research,11/25/2022 - 11/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS03ODQ3MzgxNDg5MzgM
BI,"November 25, 2022",christian santos,PENDING,travel history requirements,01/01/2007 - 11/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0JJLTA1NzU0OTYyNDMzNww
DOH,"November 25, 2022",Inpatient and outpatient of patients with cardiovascular diseases bed days in Calabarzon,PENDING,Thesis proposal of Regional Heart Center in Calabarzon,01/01/2022 - 11/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0xODQ3OTk5NzkxODcM
LTO,"November 25, 2022",Certificate of No apprehension request,PENDING,Driver’s License request,11/21/2022 - 11/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEExUTy0wNTk0OTI1NTYwNTQM
PHRA,"November 24, 2022","Total Population of retirees in Montalban, Rizal year 2015-2022",PENDING,Architectural Thesis,01/01/2015 - 01/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBIUkEtMDY1NDQ5OTU0NDIyDA
DOT,"November 24, 2022",Tourism Recreation Center,PENDING,Architectural Thesis,01/01/2017 - 11/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPVC0wOTUxNTExNTk4MDgM
PRC,"November 24, 2022",How many appointments needed for authentication of prc certificates?,PENDING,Documents needed for application for work,11/24/2022 - 11/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBSQy03NTU3NzM4MzUyNDUM
DTI,"November 24, 2022",List of contractors with PCAB in Cagayan and Tuguegarao City,PENDING,Thesis,11/28/1980 - 11/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERUSS03NTE4Mjg0OTEwNzEM
DOT,"November 24, 2022",STANDARD REQUIREMENTS FOR SPORTS & RECREATIONAL CLUB,PENDING,Architectural Thesis,01/01/2017 - 11/24/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPVC01MTM2OTYwMzI2ODAM
DENR EMB,"November 24, 2022",Air Quality Data of the City of Manila,PENDING,"Educational, research in environmental sciences and artificial neural network",01/01/2016 - 11/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJFTUItNDU3MzY0NTAzMDE2DA
