agency,date,title,status,purpose,period_covered,link
SSS,"June 21, 2023",SSS member information,PENDING,For Verification And Requesting Loan,10/25/2015 - 06/20/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy01MDk1MDk3NjkyNDMM
BIR,"June 21, 2023",BIR Form No. 2316,PENDING,One of the requirements for the skills assessment in Australian Computer Society (ASC),01/01/2019 - 12/31/2019,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi0wMTUzNDE1OTA1MjEM
NTC,"June 21, 2023",My phone was stolen,PENDING,"Block my phone, my sim and block the thiefs phone to avoid accessing my accounts.",05/01/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy05NDUxNDY2MDAwMTUM
PSA,"June 21, 2023","Percentage of ""Mute that can hear"" and ""Mute that cannot hear""",PENDING,Thesis purposes,01/01/2020 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0xOTQ5OTE5ODA4MDMM
NTC,"June 21, 2023",Number of SIM card registered to my name,PENDING,For safety purposes,05/11/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0zMjM1OTczNzE2NjMM
DOH,"June 21, 2023",Request for vaccine card,SUCCESSFUL,For employment,01/03/2022 - 02/07/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC03NzY1MDk0MDMzMjgM
NTC,"June 21, 2023",Track My Stolen Phone's Current Location,PENDING,To be able to give it back to me as I really need it,06/15/2023 - 06/15/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0wNzkxMjk2NjQzNTYM
LMB,"June 21, 2023","Zoning Ordinance and Land Use Plan of Jose Panganiban, Camarines Norte",PENDING,Research,01/01/2018 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItOTAwNzk2MjY3OTc4DA
LMB,"June 21, 2023",Zoning Ordinance and Land Use Plan of Lanao Del Sur (Picong),PENDING,Research and Proposal,01/01/2018 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItODc4MzY2OTk0Mjc3DA
NTC,"June 21, 2023",Sms scammer,PENDING,To report it immediately to the authorities to handle the situation and to get the money back.,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy02NzMyOTcwNjE5MDkM
SHFC,"June 21, 2023",Amount of payment that our HOA have transmitted,PENDING,to get updated on how much should be pay to complete the acquisition,01/01/2010 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVNIRkMtMjAxODY5MTU3MDIxDA
PSA,"June 21, 2023",Change Registered Phone Number,PENDING,Update Personal Info,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0xOTYyNzQ5NDI5OTQM
CIAP,"June 21, 2023",Construction Industry Market Research up to 2023,PENDING,School term paper,06/21/2019 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNJQVAtNTYyNzkwNjg3ODgwDA
DOH,"June 21, 2023",Data on Palliative and Hospice Care,PENDING,Thesis,06/21/2016 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC01MTg5MDg0NjIyNTkM
PUP,"June 21, 2023","Floor plans, elevations, and sections of the PUP Mabini Museum",PENDING,Research for History of Architecture 4,10/14/1904 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBVUC0wMzg2OTU5MTMzMjYM
BI,"June 21, 2023",Travel History,PENDING,Visa Application,01/01/2017 - 12/31/2019,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0JJLTM3MDEwOTIxMDI5MAw
PSA,"June 21, 2023",Request of Phylsys Tracking Number,PENDING,To track my the process of my ID,09/27/2021 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS00MzAyNDE5NTc4MzMM
DepEd,"June 21, 2023",Pay slip,PENDING,To be Presented for Evidence that I was paying my Loan,01/01/2010 - 04/30/2013,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTM5NzgwNzQ4MTYzMAw
PSHS,"June 21, 2023",Updated list of S&T Courses for PSHS Graduates,PENDING,Research,08/01/2022 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBTSFMtNzA1NTYxMTc3NDgzDA
NTC,"June 21, 2023",Magpapa block ng iphone dahil itoy ninakaw,PENDING,Maipa block upang hindi na mapakinabangan,05/24/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy00NTA5NTY3MDIxODAM
NTC,"June 21, 2023",Block Stolen phone,PENDING,Want to block my stolen.phone.,06/20/2023 - 06/20/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0zMjg5MzM2MzAwODUM
DepEd,"June 21, 2023",Certified True Copy of My Daughters Form 138 Grade 10,PENDING,For College Admission,09/03/2021 - 06/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTkyMTE5NTc3MzI4MAw
BIR,"June 21, 2023",request for 2316 from former employer,PENDING,for employment,08/16/2021 - 05/02/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi00NDI3NzUxNTc1MjkM
PSA,"June 21, 2023",Ephilid id number issue,PENDING,For my philhealth new member registration,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS05OTkzNTM2MzM0OTQM
NHA,"June 21, 2023","All pertinent issuances, rules, and procedure on the award of land in Parola Tondo and Binondo",PENDING,Socio Legal Research,01/01/2017 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5IQS01MzEwMjE5NTc5NTcM
MWSS,"June 21, 2023",Daily Water Consumption of Manila City in 2020-2023,PENDING,For research purposes in designing a modern revision of the Carriedo Waterworks,06/21/2020 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU1XU1MtOTAwMzIxMTY1NTAyDA
SSS,"June 21, 2023",SS log in and CRN/ SS number issue,PENDING,New Employee,06/20/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy01NTM1NDgzNzAxNzIM
NTC,"June 21, 2023",Stolen phone,PENDING,Locate my phone,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy05Mjk3NDI1NzY3NDcM
MMDA,"June 21, 2023",To lock serial #,REFERRED,To block/Lock serial number of my phone,12/26/2020 - 06/20/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU1NREEtNzUyMzA0NjIzNjcxDA
BIR,"June 21, 2023",My BIR 2316 for the year 2022 and 2021,PENDING,For VISA application requirements,01/01/2021 - 12/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi04MjY0OTY4ODMyMzYM
DOLE,"June 21, 2023",Cancellation of OCT 100k LRC Civil case no. 3957-p filedy former Sec. Serafin Cuevas,PENDING,To know the update result of this OCT,01/14/1955 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtNTMyODM4MTQ5ODIyDA
NTC,"June 21, 2023",Locate or Blocked the Stolen Phone,PENDING,Locate the Stolen Phone / Blocked the Phone to NTC,06/20/2023 - 06/20/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0wMDI1NTQ0Mzg1ODgM
DOLE,"June 21, 2023",Alien Employment Permit (ID Card Verification),PENDING,TO CHECK AND VALIDATE IF THE AEP ID CARD THAT THE AGENCY GAVE ME IS LEGIT OR FAKE,06/06/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtNDMxMzUyMzY3NjA5DA
DOJ,"June 21, 2023",Criminal Case Violation,PENDING,To determine pending criminal case against me,06/01/2021 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSi01NzYxNjY3NjM4NDUM
CIC,"June 21, 2023",Personal Credit Information,PENDING,Personal Review as i might have been involved in identity theft,06/21/2018 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEENJQy0yNjQ5NTUzMDM3OTQM
DA,"June 21, 2023",Determining Crop Suitability in Cagayan,PENDING,QGIS Mapping and Research Purposes,06/21/2013 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0RBLTQ5MTk5NTczMjQyMAw
ISPSC,"June 21, 2023",National tourism development plan 2023-2028,PENDING,Studies,01/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEklTUFNDLTE5NTEzNTQ1NDI4OQw
CDA,"June 21, 2023",Inquiry on 2022 Top 100 Cooperatives by Performance,PENDING,Impact of cooperatives on the economy and society.,01/01/2022 - 12/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEENEQS02Mzg2ODEyNzQzODUM
NLP,"June 21, 2023",List of Public Libraries in the Philippines,DENIED,Academic Research,01/01/1900 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5MUC04NjgzMzMxMDAxNDQM
NAMRIA,"June 21, 2023",List of Public Libraries,REFERRED,For academic research,01/01/1900 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyJAsSB0NvbnRlbnQiF0RFTlJOQU1SSUEtMjQyMzMzMDg4MTUxDA
PSA,"June 21, 2023",Richard soldevilla phylsis ephil id,PARTIALLY SUCCESSFUL,Passport application,04/08/2022 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS00MzQ0NDIzMTA1MDEM
DOH,"June 21, 2023",Number of mental health facilities in luzon,PENDING,Thesis Research,06/20/2023 - 06/20/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0yMzQzMjU4NTQxNTQM
